Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,1,41,1,1,Auditory,PI,30;45;60,30,7.70999999999998;8.92900000000003;14.233;24.255;61.584;64.935;69.996;71.531;72.909;82.642;82.868;84.349;152.501;193.591,N/A
Rat,1,41,1,2,Auditory,PI,30;45;60,30,39.665;47.744;48.797;50.178;81.283;98.236;101.094;137.126;160.985;162.491;163.198;163.569;205.078;283.27;289.62;432.797;438.229,N/A
Rat,1,41,1,3,Auditory,PI,30;45;60,30,40.953;42.7639999999999;44.432;52.6019999999999;69.777;205.194,N/A
Rat,1,41,1,4,Auditory,PI,30;45;60,30,14.5509999999999;18.875;23.5709999999999;29.4749999999999;33.4570000000001;36.6179999999999;38.9960000000001;43.8099999999999;49.5889999999999;54.5240000000001;91.1089999999999;93.9169999999999;102.803;104.994,N/A
Rat,1,41,1,5,Auditory,PI,30;45;60,30,5.68600000000015;9.29300000000012;16.1020000000003;26.221;28.1480000000001;33.6240000000003;38.4900000000002;44.6410000000001;50.7640000000001;63.4680000000003;174.707;198.435;202.333;205.783,N/A
Rat,1,41,1,6,Auditory,PI,30;45;60,30,14.0239999999999;21.1750000000002;34.7400000000002;167.316;174.835,N/A
Rat,1,41,1,7,Auditory,PI,30;45;60,30,124.627;135.05;136.493;172.743;210.468;233.009,N/A
Rat,1,41,1,8,Auditory,PI,30;45;60,30,1.08500000000004;45.5139999999997;47.9499999999998;51.1779999999999;278.515;280.51;282.086,N/A
Rat,1,41,1,9,Auditory,PI,30;45;60,30,47.561,N/A
Rat,1,41,1,10,Auditory,PI,30;45;60,30,112.294;112.427,N/A
Rat,1,41,1,11,Auditory,PI,30;45;60,30,136.547;143.111,N/A
Rat,1,41,1,12,Auditory,PI,30;45;60,30,20.2020000000002;31.6329999999998;35.9669999999996;39.1359999999995;133.855;242.255999999999,N/A
Rat,1,41,1,13,Auditory,PI,30;45;60,30,15.5140000000001;33.0430000000006;35.174;267.361;269.7;271.024;321.356;339.965;348.788;357.070000000001;359.057,N/A
Rat,1,41,1,14,Auditory,PI,30;45;60,30,99.2250000000004;102.924;120.056000000001;196.408;200.104;200.635;281.747,N/A
Rat,1,41,1,15,Auditory,PI,30;45;60,30,79.5950000000003;79.7190000000001;82.4090000000006;83.5740000000005;134.5;249.457;250.175;262.545;263.716;264.258000000001;264.424;437.051;472.332;482.966;522.807000000001;525.224;532.673000000001;565.287,N/A
Rat,1,41,1,16,Auditory,PI,30;45;60,30,63.8000000000002;158.299;167.212;168.22;276.061;276.371,N/A
Rat,1,41,1,17,Auditory,PI,30;45;60,30,10.0739999999996;35.1319999999996;91.1999999999998;103.704,N/A
Rat,1,42,1,1,Auditory,PI,30;45;60,30,6.97199999999998;23.154;23.872;25.059;27.226;29.448;29.881;30.38;31.439;32.552;33.503;33.979;34.369;38.337;39.62;44.982;46.909;49.369;51.499;54.904;55.856;100.663;216.821;258.059,N/A
Rat,1,42,1,2,Auditory,PI,30;45;60,30,41.48;43.693;53.797;121.023;124.219;336.25,N/A
Rat,1,42,1,3,Auditory,PI,30;45;60,30,30.223;33.961;36.117;175.464,N/A
Rat,1,42,1,4,Auditory,PI,30;45;60,30,56.183;62.71;65.979;93.2749999999999,N/A
Rat,1,42,1,5,Auditory,PI,30;45;60,30,183.705;184.5;186.447,N/A
Rat,1,42,1,6,Auditory,PI,30;45;60,30,109.746;141.319;148.212;150.041;151.435,N/A
Rat,1,42,1,7,Auditory,PI,30;45;60,30,3.58599999999979;5.6880000000001;10.8609999999999;17.9139999999998;20.038;23.748;27.194;28.9789999999998;31.4200000000001;32.2049999999999;37.2439999999997;37.7199999999998;39.0039999999999;41.7849999999999;43.431;56.2719999999999;116.188;123.159;138.52,N/A
