Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140
Rat,12401,1,1,1,Audiovisual,PI,4;8;16,8,5.59999999999997;6.25999999999999;7.07999999999998;7.41999999999996;7.69999999999999;8.15999999999997;8.74000000000001;9.12000000000001;9.51999999999998;9.81999999999999;10.26;11.02;11.22;11.46;11.96;12.34;12.52;13.84;15.26;15.4;15.58;15.84;16.16;16.52;16.92;17.28;18.18;56.42;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,2,Audiovisual,PI,4;8;16,8,6.15999999999997;6.81999999999999;7.53999999999996;8.03999999999996;8.33999999999998;8.75999999999999;9.24000000000001;9.56;10.08;11.1;12.62;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,3,Audiovisual,PI,4;8;16,8,3.05999999999995;3.40000000000009;3.75999999999999;4.59999999999991;4.8599999999999;5.13999999999987;5.87999999999988;6.66000000000008;7.07999999999993;7.37999999999988;7.70000000000005;8.20000000000005;8.46000000000004;8.81999999999994;9.44000000000006;10.5999999999999;11.3;11.8199999999999;12.5599999999999;13.0599999999999;13.3;14.3199999999999;14.9400000000001;15.3;17.48;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,4,Audiovisual,PI,4;8;16,8,4.18000000000006;5.27999999999997;5.57999999999993;6.1400000000001;6.44000000000006;6.72000000000003;7.11999999999989;7.8599999999999;8.20000000000005;8.48000000000002;8.83999999999992;9.31999999999994;10.22;10.74;11.4200000000001;12.28;13.5999999999999;13.9200000000001;14.24;14.5599999999999;15.04;15.3;15.5999999999999;15.9200000000001;29.8800000000001;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,5,Audiovisual,PI,4;8;16,8,7.44000000000006;8.55999999999995;9.34000000000015;10.04;11.02;11.3600000000001;11.6199999999999;11.9000000000001;12.5999999999999;13.3400000000001;14.2600000000002;14.5;14.8400000000001;15.46;15.8000000000002;16.8200000000002;17.1999999999998;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,6,Audiovisual,PI,4;8;16,8,3.61999999999989;4.40000000000009;4.94000000000006;5.30000000000018;5.65999999999985;6.65999999999985;7.46000000000004;7.69999999999982;8.57999999999993;8.86000000000013;9.19999999999982;9.55999999999995;10.02;13.9200000000001;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,7,Audiovisual,PI,4;8;16,8,4.38000000000011;5.23999999999978;6.19999999999982;6.96000000000004;7.23999999999978;7.52000000000044;8.0600000000004;9.03999999999996;9.34000000000015;9.60000000000036;9.88000000000011;10.4200000000001;11.1199999999999;11.54;12.6000000000004;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,8,Audiovisual,PI,4;8;16,8,2.28000000000066;3.10000000000036;3.80000000000018;4.1200000000008;5.0600000000004;5.60000000000036;5.82000000000062;6.26000000000022;6.54000000000087;6.92000000000007;7.52000000000044;8.6200000000008;8.80000000000018;9.72000000000026;9.80000000000018;10.1200000000008;10.3800000000001;10.6400000000003;11.1400000000003;11.8800000000001;44.8200000000006;45.5800000000008;46.2000000000007;46.6000000000004;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,9,Audiovisual,PI,4;8;16,8,4.64000000000033;5.60000000000036;6.19999999999982;7.03999999999996;7.86000000000058;8.94000000000051;9.5;9.74000000000069;10.0200000000004;10.4200000000001;10.8000000000002;11.7400000000007;12.1000000000004;12.6000000000004;12.8400000000001;13.3600000000006;13.9200000000001;15.1000000000004;16.1599999999999;16.3200000000006;16.8200000000006;17.0600000000004;17.4800000000005;18;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,12401,1,1,10,Audiovisual,PI,4;8;16,8,3.53999999999996;4.0600000000004;4.5600000000004;5.22000000000026;6.02000000000044;6.0600000000004;6.34000000000015;6.64000000000033;7.30000000000018;7.81999999999971;8.84000000000015;9.53999999999996;9.81999999999971;10.1599999999999;10.6599999999999;11.9200000000001;13.2399999999998;14.4400000000005;14.8199999999997;15.0600000000004;15.3800000000001;16.0799999999999;45.1800000000003;45.7799999999997;46.46;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
