Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,18111,1,1,1,Visual,PI,4;8;16,4,2.88000000000466;3.13000000000466;3.66999999999825;4.23000000001048;4.7100000000064;5.51000000000931;5.91999999999825;6.3700000000099;6.59000000001106;7.26000000000931;8.30000000000291;8.55000000000291;8.80999999999767;9.25;9.58000000000175;9.77999999999884;10.0599999999977;10.3700000000099;10.7900000000081;56,N/A
Rat,18111,1,1,2,Visual,PI,4;8;16,4,4.59000000001106;4.82000000000699;4.98000000001048;5.20000000001164;5.44000000000233;5.7100000000064;6.04000000000815;6.25;6.88999999999942;7.27000000000407;7.47000000000116;7.65000000000873;8.10000000000582;8.59000000001106;8.94000000000233;9.29000000000815;55,N/A
Rat,18111,1,1,3,Visual,PI,4;8;16,4,1.38999999999942;1.63999999999942;1.80000000000291;2.08999999999651;2.39999999999418;2.72000000000116;3.05000000000291;3.22000000000116;3.58000000000175;3.92999999999302;4.25;4.36999999999534;4.80000000000291;4.94000000000233;5.33000000000175;5.5;61,N/A
Rat,18111,1,1,4,Visual,PI,4;8;16,4,1.17999999999302;1.31999999999243;1.81999999999243;2.75;3.09999999999127;3.56999999999243;3.84999999999127;4.11999999999534;4.39999999999418;4.72000000000116;5.20999999999185;6.19000000000233;6.47999999999593;6.7899999999936;64,N/A
Rat,18111,1,1,5,Visual,PI,4;8;16,4,1.34000000001106;1.68000000000757;2.33000000000175;2.65000000000873;2.80999999999767;3.45000000001164;3.69000000000233;4.61000000000058;4.84000000001106;5.02000000000407;5.29000000000815;5.47000000000116;5.70000000001164;6.1200000000099;54,N/A
Rat,18111,1,1,6,Visual,PI,4;8;16,4,8.42000000001281;8.55000000000291;8.70000000001164;8.8700000000099;9.09000000001106;9.22000000000116;9.44000000000233;9.68000000000757;9.84000000001106;9.98000000001048;10.2800000000134;10.4500000000116;10.5;10.9200000000128;53,N/A
Rat,18111,1,1,7,Visual,PI,4;8;16,4,2.80000000000291;3.05999999999767;3.22000000000116;3.47999999999593;3.83000000000175;4.0399999999936;4.33000000000175;4.57000000000699;4.86999999999534;5.05999999999767;5.25;5.4600000000064;5.77999999999884;6.36000000000058;6.66000000000349;56,N/A
Rat,18111,1,1,8,Visual,PI,4;8;16,4,3.33000000000175;3.68000000000757;3.91000000000349;4.30000000000291;4.49000000000524;4.63999999999942;4.90000000000873;5.3700000000099;5.73000000001048;55,N/A
Rat,18111,1,1,9,Visual,PI,4;8;16,4,4.30000000000291;4.47000000000116;4.66999999999825;4.91000000000349;5.06999999999243;5.25999999999476;5.5399999999936;5.70999999999185;6.36999999999534;6.69999999999709;59,N/A
Rat,18111,1,1,10,Visual,PI,4;8;16,4,7.58000000000175;7.75999999999476;7.9600000000064;8.27000000000408;8.7100000000064;9;9.17999999999302;9.36999999999534;9.57000000000699;9.9600000000064;10.2899999999936;10.3600000000006;10.8300000000017;53,N/A
Rat,18111,1,1,11,Visual,PI,4;8;16,4,0;1.60000000000582;1.9600000000064;2.35000000000582;2.59000000001106;2.90000000000873;3.51000000000931;3.80000000000291;4.13999999999942;4.41999999999825;4.68000000000757;4.94000000000233;5.29000000000815;5.54000000000815;5.75;6.02999999999884;6.13999999999942;6.57000000000699;6.68000000000757;6.99000000000524;7.13000000000466;7.35000000000582;7.58000000000175;8.04000000000815;57,N/A
Rat,18111,1,1,12,Visual,PI,4;8;16,4,12.1999999999971;58,N/A
Rat,18111,1,1,13,Visual,PI,4;8;16,4,2.08000000000175;2.29000000000815;2.63999999999942;2.8700000000099;3.05000000000291;3.58000000000175;3.85000000000582;4.16000000000349;4.36000000000058;4.60000000000582;5.02999999999884;5.47000000000116;8.75;52,N/A
Rat,18111,1,1,14,Visual,PI,4;8;16,4,4.30999999999767;4.54000000000815;4.77000000000407;4.93000000000757;5.30999999999767;5.50999999999476;5.68000000000757;5.93000000000757;6.08999999999651;6.35000000000582;6.61000000000058;6.86999999999534;7.24000000000524;7.58000000000175;64,N/A
Rat,18111,1,1,15,Visual,PI,4;8;16,4,4.01000000000931;4.18000000000757;4.32000000000699;4.59000000001106;4.83000000000175;5.08000000000175;5.27000000000407;5.48000000001048;5.77999999999884;6.16000000000349;6.43000000000757;6.68000000000757;58,N/A
Rat,18111,1,1,16,Visual,PI,4;8;16,4,62,N/A
Rat,18111,1,1,17,Visual,PI,4;8;16,4,15.4600000000064;15.8600000000006;16.0500000000029;16.2400000000052;16.4700000000012;64,N/A
Rat,18111,1,1,18,Visual,PI,4;8;16,4,3.50999999999476;3.67999999999302;3.92999999999302;4.21999999998661;4.42999999999302;4.57999999998719;4.7899999999936;4.92999999999302;5.17999999999302;5.46999999998661;56,N/A
Rat,18111,1,1,19,Visual,PI,4;8;16,4,7.4199999999837;7.60999999998603;7.82999999998719;8.03999999997905;8.27999999999884;19.859999999986;20.1299999999756;20.3999999999942;20.5899999999965;20.8699999999953;20.9400000000023;21.0699999999779;21.3399999999965;21.5799999999872;21.859999999986;54,N/A
Rat,18111,1,1,20,Visual,PI,4;8;16,4,0.919999999983702;2.32000000000699;2.69000000000233;3.57000000000699;3.86999999999534;4.23999999999069;4.67999999999302;5.04999999998836;5.29999999998836;5.64999999999418;6.01999999998952;6.29999999998836;6.77999999999884;21.1600000000035;53,N/A
Rat,18111,1,1,21,Visual,PI,4;8;16,4,18.8299999999872;19.0899999999965;19.289999999979;50,N/A
Rat,18111,1,1,22,Visual,PI,4;8;16,4,4.21000000002096;4.39999999999418;4.86000000001513;5.13000000000466;5.36999999999534;5.63000000000466;5.77000000001863;6.10000000000582;6.39000000001397;58,N/A
Rat,18111,1,1,23,Visual,PI,4;8;16,4,4.30999999999767;4.44000000000233;4.97000000000116;5.19000000000233;5.58999999999651;5.80999999999767;6.02000000001863;6.27000000001863;6.52999999999884;6.8300000000163;53,N/A
Rat,18111,1,1,24,Visual,PI,4;8;16,4,3.30999999999767;3.52999999999884;3.69999999998254;4.04000000000815;4.38000000000466;4.61999999999534;4.88999999998487;5.16000000000349;5.35999999998603;5.54000000000815;5.85000000000582;6.01000000000931;6.25;6.47000000000116;6.72000000000116;7;57,N/A
Rat,18111,1,1,25,Visual,PI,4;8;16,4,1.75;1.88999999998487;2.06999999997788;2.32999999998719;2.47999999998137;2.75999999998021;2.97000000000116;3.23999999999069;3.5;3.69999999998254;4.06999999997788;4.34999999997672;4.59999999997672;4.82999999998719;5.07999999998719;5.25;5.42999999999302;5.82999999998719;58,N/A
Rat,18111,1,1,26,Visual,PI,4;8;16,4,2.75999999998021;2.95999999999185;3.12999999997555;3.37999999997555;3.57999999998719;3.80999999999767;4.06999999997788;4.26999999998952;4.5;4.79999999998836;5.04999999998836;5.22999999998137;5.55999999999767;5.91000000000349;6.19999999998254;6.44000000000233;6.69000000000233;58,N/A
Rat,18111,1,1,27,Visual,PI,4;8;16,4,8.05000000001746;8.41000000000349;8.64000000001397;8.80000000001746;8.98000000001048;9.22000000000116;9.47000000000116;9.77999999999884;9.92000000001281;10.1499999999942;10.3399999999965;10.6499999999942;10.8800000000047;11.1700000000128;11.5100000000093;11.9400000000023;12.3000000000175;57,N/A
Rat,18111,1,1,28,Visual,PI,4;8;16,4,2.25;2.42999999999302;2.58999999999651;2.89000000001397;3.30999999999767;3.54000000000815;3.73000000001048;4;4.25;4.44000000000233;4.58999999999651;4.79000000000815;5.54000000000815;5.80000000001746;6.07000000000699;50.0100000000093,N/A
Rat,18111,1,1,29,Visual,PI,4;8;16,4,3.91000000000349;4.04999999998836;4.19000000000233;4.41000000000349;4.64999999999418;4.86999999999534;5.04000000000815;5.29000000000815;5.60000000000582;60,N/A
Rat,18111,1,1,30,Visual,PI,4;8;16,4,0;3.73999999999069;3.93999999997322;4.11999999999534;4.33999999999651;4.51999999998952;4.83999999999651;5.00999999998021;5.30999999999767;5.54999999998836;5.79999999998836;6;6.18999999997322;6.47999999998137;6.68999999997322;6.98999999999069;62,N/A
Rat,18111,1,1,31,Visual,PI,4;8;16,4,4.01000000000931;4.26999999998952;4.76999999998952;5;5.29999999998836;5.51999999998952;5.82000000000699;6.10999999998603;6.35999999998603;6.63999999998487;6.9199999999837;7.44999999998254;56,N/A
Rat,18111,1,1,32,Visual,PI,4;8;16,4,4.98999999999069;5.15999999997439;5.39999999999418;5.63999999998487;5.89999999999418;6.19999999998254;6.65999999997439;6.88999999998487;7.13999999998487;7.31999999997788;7.67999999999302;8.05999999999767;8.25999999998021;8.4199999999837;8.64999999999418;8.93999999997322;9.20999999999185;9.33999999999651;9.40999999997439;9.75;10.1199999999953;52,N/A
Rat,18111,1,1,33,Visual,PI,4;8;16,4,0;1.26999999998952;1.44999999998254;1.62999999997555;1.97999999998137;2.4199999999837;2.62999999997555;2.98999999999069;3.1699999999837;3.47999999998137;3.75;4.01999999998952;4.25;4.45999999999185;4.67999999999302;5.17999999999302;5.51999999998952;5.78999999997905;6.07999999998719;6.18999999997322;6.64999999999418;6.78999999997905;7.28999999997905;49,N/A
Rat,18111,1,1,34,Visual,PI,4;8;16,4,2.57999999998719;2.79000000000815;3.01999999998952;3.23000000001048;3.41000000000349;3.63000000000466;3.86999999999534;4.04999999998836;4.38000000000466;4.67999999999302;4.92999999999302;5.13000000000466;5.38999999998487;49.609999999986;64,N/A
Rat,18111,1,1,35,Visual,PI,4;8;16,4,20.8099999999977;21.0200000000186;21.2600000000093;21.4800000000105;21.7600000000093;21.9900000000198;22.2200000000012;22.460000000021;22.7200000000012;22.960000000021;23.210000000021;59,N/A
Rat,18111,1,1,36,Visual,PI,4;8;16,4,1.25;1.51000000000931;1.82000000000699;2.26000000000931;2.45000000001164;2.88000000000466;3.11999999999534;3.47000000000116;3.54000000000815;3.89000000001397;4.20999999999185;5.47000000000116;53,N/A
