Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,15051,1,1,1,Audiovisual,PI,8;16;32,8,1.58699999999999;2.07799999999999;2.68499999999999;3.532;3.89399999999999;4.37299999999999;4.71199999999999;5.252;5.73899999999999;6.136;6.69699999999999;7.11399999999999;7.786;8.16799999999999;8.55;8.991;9.60299999999999;10;11.08;11.418;11.714;12.304;13.22;27.66;31.684;54.752;61.715;62.001;54;54,N/A
Rat,15051,1,1,2,Audiovisual,PI,8;16;32,8,5.54399999999998;6.25900000000001;6.80099999999999;7.245;7.95699999999999;8.28399999999999;8.75100000000003;9.26600000000002;9.58600000000001;9.78399999999999;10.539;10.876;11.04;11.522;12.105;12.533;12.85;13.121;13.788;14.092;14.387;15.14;15.994;16.38;16.655;17.014;17.611;34.665;64.001,N/A
Rat,15051,1,1,3,Audiovisual,PI,8;16;32,8,1.76700000000005;3.01100000000008;3.2700000000001;3.78800000000001;4.47300000000007;5.08199999999999;5.255;5.78500000000008;6.68500000000006;7.37300000000005;8.08400000000006;8.90000000000009;9.34700000000009;9.625;9.93200000000002;10.25;10.5490000000001;11.019;11.288;11.6840000000001;12.263;12.825;13.0730000000001;13.3440000000001;13.611;14.071;14.629;15.135;15.4440000000001;16.063;16.408;18.01;57.0010000000001,N/A
Rat,15051,1,1,4,Audiovisual,PI,8;16;32,8,3.39699999999993;4.02599999999984;4.35199999999986;4.64199999999983;5.18299999999999;5.57299999999987;6.00699999999961;6.596;6.85299999999961;7.41300000000001;7.88799999999992;8.17899999999963;8.53600000000006;8.88699999999972;9.38099999999986;9.69999999999982;10.056;10.5009999999997;10.7689999999998;11.1299999999997;11.3649999999998;11.6979999999999;12.4759999999997;12.7309999999998;13.1679999999997;13.3609999999999;14.0049999999997;14.2839999999997;14.5899999999997;15.4669999999996;16.1389999999997;16.4479999999999;16.864;52.0009999999998,N/A
Rat,15051,1,1,5,Audiovisual,PI,8;16;32,8,1.35699999999997;2.33899999999994;2.72899999999981;3.18199999999979;3.63099999999986;4.07999999999993;4.36299999999983;5.00399999999991;5.24099999999999;5.71799999999985;6.25900000000001;6.47499999999991;6.98599999999988;7.26099999999997;7.53499999999985;7.86299999999983;8.11599999999999;8.60899999999992;8.96000000000004;9.47899999999981;9.59699999999975;9.89599999999973;10.1779999999999;10.4290000000001;10.8649999999998;11.3530000000001;11.6959999999999;12.1889999999999;12.5679999999998;13.0879999999997;52.0009999999998,N/A
Rat,15051,1,1,6,Audiovisual,PI,8;16;32,8,14.808;15.6469999999999;16.02;16.3409999999999;16.8489999999997;17.1909999999998;17.8159999999998;18.355;18.9389999999999;19.1749999999997;19.5949999999998;19.8889999999997;20.4179999999997;20.6959999999999;21.2199999999998;21.433;21.7829999999999;22.0389999999998;22.5429999999997;23.1589999999997;23.6799999999998;24.2339999999999;24.4969999999998;24.6769999999997;25.0209999999997;25.317;49.0009999999998,N/A
Rat,15051,1,1,7,Audiovisual,PI,8;16;32,8,2.51599999999962;3.23199999999997;3.52499999999964;3.86700000000019;4.40300000000025;5.02599999999984;5.17799999999988;5.78399999999965;6.06999999999971;6.2489999999998;6.70499999999993;6.96399999999994;7.33399999999983;7.78299999999945;8.05599999999959;8.29899999999998;8.72400000000016;8.86899999999969;9.13799999999992;9.42999999999938;9.75699999999961;10.0869999999995;10.5739999999996;10.777;11.2759999999998;11.7780000000002;12.0109999999995;12.2809999999999;12.5479999999998;13.2699999999995;13.6669999999995;62.0010000000002,N/A
Rat,15051,1,1,8,Audiovisual,PI,8;16;32,8,1.10699999999997;1.51299999999992;1.8119999999999;2.16899999999987;2.6239999999998;3.11599999999999;3.57099999999991;4.02000000000044;4.63200000000052;4.93900000000031;5.5590000000002;6.16100000000006;6.53700000000026;7.02199999999993;7.23700000000008;7.73000000000047;7.96600000000035;8.60100000000057;9.00900000000002;9.60900000000038;9.93000000000029;10.2210000000005;10.8519999999999;48.0010000000002;48;48,N/A
Rat,15051,1,1,9,Audiovisual,PI,8;16;32,8,2.26400000000012;3.03200000000015;3.34600000000046;3.80400000000009;4.36300000000028;4.71300000000065;5.1840000000002;5.77500000000055;6.22600000000057;6.49300000000039;7.00800000000072;7.25300000000061;7.65300000000025;8.16400000000067;8.43900000000031;8.95899999999983;9.29800000000068;9.75600000000031;9.94000000000051;10.6310000000003;10.9189999999999;11.1820000000007;11.4580000000005;11.723;14.8209999999999;40.8110000000006;53.0010000000002,N/A
Rat,15051,1,1,10,Audiovisual,PI,8;16;32,8,6.02599999999984;6.31800000000021;6.77700000000004;7.07999999999993;7.54100000000017;7.8159999999998;8.17500000000018;8.64999999999964;9.125;9.36499999999978;9.7489999999998;10.2200000000003;10.5069999999996;10.973;11.6369999999997;12.049;12.5050000000001;12.866;13.3199999999997;13.9620000000004;14.5730000000003;49.0010000000002;45.1800000000003;45.7799999999997;46.46;59,N/A
