Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,101,89,1,1,Auditory,PI,30;60;120,120,95.12;96.57;224.92;226.14;227.04;289.93;290.22;291.56;292.95;300.7;302;302.76;303.46;421.13;421.5;423.66;424.87,N/A
Rat,101,89,1,2,Auditory,PI,30;60;120,120,169.41;173.22;174.06;174.29;174.68;175.22;181.86;184.08;185.96;188.04;210.8;215.16;215.97;218.28,N/A
Rat,101,89,1,3,Auditory,PI,30;60;120,120,90.2800000000002;103.37;104.41;114.49;126.56;127.78;147.25;147.95;149.47;174.32;186.69;188.56;239.07;239.37;240.26;240.39;241.1,N/A
Rat,101,89,1,4,Auditory,PI,30;60;120,120,34.6199999999999;34.9199999999996;35.27;35.7399999999998;36.6199999999999;44.0299999999997;52.5099999999998;55.0899999999997;59.7099999999996;60.0099999999998;62.8799999999997;62.98;68.9599999999996;72.2999999999997;98.3999999999996;106.71;107.88;112.48;113.16;115.17;115.57;137.52;139.38;156.82;190.15;190.28;194.23;319.93;321.13;331.56;333.66,N/A
Rat,101,89,1,5,Auditory,PI,30;60;120,120,49.5499999999997;156.59;156.86;158.81;163.32;163.74;169.37;206.65;206.93;208.82;271.53;272.69;296.42;415.08;420.5,N/A
Rat,101,89,1,6,Auditory,PI,30;60;120,120,83.8000000000002;85.8500000000004;91.0500000000002;99.0900000000002;110.73;111.14;112.18;120.52;139.19,N/A
Rat,101,90,1,1,Auditory,PI,30;60;120,120,106.05;106.99;107.05;124.9;126.97;136.4;137.02;137.28;137.36;157.14;403.17;405.3;406.15,N/A
Rat,101,90,1,2,Auditory,PI,30;60;120,120,8.52999999999975;53.1899999999996;147.27;229.12;229.71;309.03;314.42;395.88;396;396.5;407.76;407.88;408.21;429.49,N/A
Rat,101,90,1,3,Auditory,PI,30;60;120,120,96.23;104.07;131.05;198.71;199.12;199.49;245.91;264.37;264.61,N/A
Rat,101,90,1,4,Auditory,PI,30;60;120,120,3.89,N/A
Rat,101,90,1,5,Auditory,PI,30;60;120,120,48.8099999999995;51.25;78.54,N/A
