Species;Subj_idx;Session;Block;Trial;Stim;Procedure;Duration_Set;Target_Duration;Response_Onset;Response_Offset
Rat;101;92;1;1;Auditory;PI;"15;60";15;"28.1400000000001;28.53;29.6300000000001;31.5799999999999;31.98;32.6900000000001;33.0599999999999;33.74;34.0599999999999;34.46;36.1400000000001;37.4100000000001;37.8399999999999;38.3;38.6100000000001;38.77;39.28;41.6000000000001;41.97;42.9100000000001;45.3399999999999;45.8399999999999;46.0699999999999;47.1700000000001;47.8;49.23;49.5;49.8199999999999;51.6500000000001;52.5;56.6900000000001;57.1500000000001";N/A
Rat;101;92;1;2;Auditory;PI;"15;60";15;"17.3699999999999;17.8000000000002;18.8000000000002;19.75;22.4000000000001;23.0700000000002;23.6700000000001;24.8200000000002;25.3600000000001;25.9100000000003;28.8900000000003;29.4100000000003;29.4400000000001;29.8200000000002;29.9100000000003;30.3900000000003;31.9900000000002;32.75;39.8800000000001;57.3299999999999";N/A
Rat;101;92;1;3;Auditory;PI;"15;60";15;"11.4200000000001;13.46;16.5700000000002;16.7200000000003;18.6799999999998;19.6700000000001;19.6999999999998;19.73;20.1500000000001;20.29;20.8600000000001;23.9099999999999;27.5;29.8299999999999";N/A
Rat;101;92;1;4;Auditory;PI;"15;60";15;"22.8100000000004;24.25;29.5900000000001;32.5900000000001";N/A
Rat;101;92;1;5;Auditory;PI;"15;60";15;"17.3100000000004;36.6100000000006;38.8200000000006";N/A
Rat;101;92;1;6;Auditory;PI;"15;60";15;"24.6800000000003;24.8000000000002;26.71";N/A
Rat;101;92;1;7;Auditory;PI;"15;60";15;30.93;N/A
Rat;101;93;1;1;Auditory;PI;"15;60";15;"9.13;14.34;14.73;16.09;20.43;22.18;22.68;26.59;28.38;28.77;29.45;29.79;30.46;37.14;38.21;42.19";N/A
Rat;101;93;1;2;Auditory;PI;"15;60";15;"2.05999999999995;2.31999999999994;13.04;15.5;45.1;47.2099999999999;53.09;53.22;55.12;56.09;56.73;57.62";N/A
Rat;101;93;1;3;Auditory;PI;"15;60";15;"23.24;25.3099999999999;28.7;29.74;32.25;32.3099999999999;35.6100000000001;40.27;40.3099999999999;47.2;54;55.9000000000001;57.8900000000001";N/A
