Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,9121,1,1,1,Short,PI,15;36,4,2.12;2.63999999999999;2.89999999999998;3.21999999999997;3.47999999999996;4.38,2.62;2.85999999999996;3.12;3.41999999999996;4.21999999999997;5.18000000000001;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54;-323.54
Rat,9121,1,1,2,Short,PI,15;36,4,4.8599999999999;5.79999999999995;6.03999999999996;39.9599999999998,5.72000000000003;5.95999999999981;6.61999999999989;40.1599999999999;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16;-1168.16
Rat,9121,1,1,3,Short,PI,15;36,4,3.8599999999999;4.29999999999995;4.53999999999996;5.27999999999997;6.20000000000005,4.24000000000001;4.5;5.07999999999993;6.11999999999989;6.41999999999985;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44;-1515.44
Rat,9121,1,1,4,Short,PI,15;36,4,3.20000000000005;3.89999999999986;4.96000000000004;5.22000000000003;5.98000000000002;6.42000000000007;6.51999999999998;6.79999999999995;47.3599999999999;48.3399999999999;49.8799999999999;52.28,3.75999999999999;4.87999999999988;5.09999999999991;5.89999999999986;6.24000000000001;6.48000000000002;6.55999999999995;6.89999999999986;48.3;48.54;50.5599999999999;52.78;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46;-1632.46
Rat,9121,1,1,5,Short,PI,15;36,4,4.65999999999985;5.57999999999993;7.09999999999991,5.51999999999998;7.03999999999996;7.26000000000022;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58;-2442.58
Rat,9121,1,1,6,Short,PI,15;36,4,0.739999999999782;1.31999999999971;4.63999999999987;5.92000000000007;6.67999999999984;6.90000000000009,1.29999999999973;1.61999999999989;5.88000000000011;6.61999999999989;6.75999999999976;7.01999999999998;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42;-3691.42
Rat,9121,1,1,7,Short,PI,15;36,4,1.95999999999958;2.39999999999964;2.98000000000002;3.2199999999998;3.48000000000002;3.7199999999998;4.09999999999991;4.31999999999971;4.67999999999984;5.2199999999998;5.53999999999996;6.51999999999998;6.83999999999969;7.27999999999975;7.65999999999985;8.35999999999967;8.48000000000002;34.4599999999996,2.35999999999967;2.91999999999962;3.11999999999989;3.41999999999962;3.65999999999985;4.01999999999998;4.29999999999973;4.57999999999993;5.09999999999991;5.4399999999996;6.4399999999996;6.81999999999971;7.09999999999991;7.4399999999996;8.07999999999993;8.41999999999962;8.7199999999998;34.6399999999999;-3993.78;-3993.78
Rat,9121,1,1,8,Short,PI,15;36,4,2.47999999999956;3.23999999999978;3.51999999999953;4;4.23999999999978;4.46000000000004;4.85999999999967;5.11999999999989;6;6.22000000000026;6.39999999999964;6.97999999999956;7.19999999999982,3.19999999999982;3.46000000000004;3.84000000000015;4.11999999999989;4.39999999999964;4.77999999999975;5.05999999999949;5.92000000000007;6.17999999999938;6.38000000000011;6.69999999999982;7.03999999999996;7.34000000000015;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8;-4111.8
Rat,9121,1,1,9,Short,PI,15;36,4,1.61999999999989;2.05999999999949;2.35999999999967;2.83999999999924;2.89999999999964;3.09999999999945;3.5;3.71999999999935;3.77999999999975;4.15999999999985;5.07999999999993;5.27999999999975;5.55999999999949,2.03999999999996;2.31999999999971;2.77999999999975;2.85999999999967;3.01999999999953;3.3799999999992;3.67999999999938;3.73999999999978;4.01999999999953;5.01999999999953;5.11999999999989;5.42000000000007;5.63999999999942;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6;-4414.6
Rat,9121,1,1,10,Short,PI,15;36,4,2.4399999999996;3.22000000000025;3.5;3.72000000000025;3.96000000000004;5.01999999999953;59.46,3.17999999999938;3.42000000000007;3.63999999999942;3.92000000000007;4.92000000000007;5.35999999999967;59.6199999999999;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8;-4959.8
Rat,9121,1,1,11,Short,PI,15;36,4,2.32000000000062;3.22000000000025;3.48000000000047;4.60000000000036;5.22000000000026;5.53999999999996,3.14000000000033;3.40000000000055;4.52000000000044;5.11999999999989;5.32000000000062;5.60000000000036;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32;-5165.32
Rat,9121,1,1,12,Short,PI,15;36,4,4.15999999999985;4.61999999999989;5.07999999999993;5.60000000000036;6.57999999999993;6.89999999999964,4.57999999999993;5.0600000000004;5.52000000000044;6.5600000000004;6.84000000000015;7.14000000000033;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54;-5474.54
Rat,9121,1,1,13,Short,PI,15;36,4,3.91999999999916;4.5;4.85999999999967;6.23999999999978;6.73999999999978,4.45999999999913;4.75999999999931;6.21999999999935;6.63999999999942;6.83999999999924;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52;-6896.52
Rat,9121,1,1,1,Long,PI,15;36,12,-5.84;6.29999999999998;16.4;29.46;42.08,-5.5;6.85999999999999;17;30.02;42.5;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52;-195.52
Rat,9121,1,1,2,Long,PI,15;36,12,3.03999999999996;25.9;40.5799999999999;52.6999999999999,3.45999999999992;26.68;40.9799999999999;53.0799999999999;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58;-562.58
