Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response_Onset,Response_Offset
Rat,8031,1,1,1,Short,PI,15;36,4,19.58;20.14;59.36,19.64;20.26;59.42;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02
Rat,8031,1,1,2,Short,PI,15;36,4,4.68000000000001;5.02000000000004;5.31999999999999;5.68000000000001;6.04000000000002;6.69999999999999;7.30000000000001,4.94;5.25999999999999;5.58000000000004;5.88;6.60000000000002;7.18000000000001;7.74000000000001;-357.08;-357.08;-357.08;-357.08
Rat,8031,1,1,3,Short,PI,15;36,4,1.93999999999994;2.13999999999999;3.03999999999996;3.91999999999996;4.25999999999999;5.01999999999998;5.51999999999998,2.08000000000004;3.01999999999998;3.5;4.15999999999997;4.93999999999994;5.46000000000004;6.12;-583.12;-583.12;-583.12;-583.12
Rat,8031,1,1,4,Short,PI,15;36,4,14.24;14.84;15.3200000000001;15.5600000000001;16.04,14.76;15.26;15.48;15.8200000000001;16.14;-710.14;-710.14;-710.14;-710.14;-710.14;-710.14;-710.14;-710.14
Rat,8031,1,1,5,Short,PI,15;36,4,3.62000000000012;4.51999999999998;4.94000000000006;5.27999999999997;5.62000000000012;6.1400000000001;7.70000000000005;8.01999999999998,4.18000000000006;4.88000000000011;5.20000000000005;5.54000000000019;5.88000000000011;7.56000000000017;7.96000000000004;8.20000000000005;-1202.34;-1202.34
Rat,8031,1,1,6,Short,PI,15;36,4,3.20000000000005;3.56000000000017;3.84000000000015;4.1400000000001;5.16000000000008;5.58000000000016,3.46000000000004;3.7800000000002;4.08000000000016;5.10000000000014;5.54000000000019;5.94000000000006;-1305.36;-1305.36;-1305.36;-1305.36;-1305.36;-1305.36
Rat,8031,1,1,7,Short,PI,15;36,4,4.29999999999995;5.37999999999988;5.81999999999994;6.07999999999993,4.95999999999981;5.75999999999999;6.05999999999995;7.27999999999997;-1539.4;-1539.4;-1539.4;-1539.4;-1539.4;-1539.4;-1539.4;-1539.4;-1539.4;-1539.4
Rat,8031,1,1,8,Short,PI,15;36,4,12.66,13.5999999999999;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64;-1747.64
Rat,8031,1,1,9,Short,PI,15;36,4,4.70000000000005;5.22000000000003;5.61999999999989;6.05999999999995;6.44000000000006;6.79999999999995,5.01999999999998;5.39999999999986;5.83999999999992;6.29999999999995;6.70000000000005;7.94000000000006;-1943.72;-1943.72;-1943.72;-1943.72;-1943.72;-1943.72
Rat,8031,1,1,10,Short,PI,15;36,4,2.72000000000025;3.54000000000042;4.16000000000031;4.96000000000004;5.40000000000009;6.20000000000027;6.60000000000036;7,3.08000000000038;4.08000000000038;4.94000000000006;5.30000000000018;6.08000000000038;6.54000000000042;6.84000000000015;7.14000000000033;-2067.74;-2067.74
Rat,8031,1,1,11,Short,PI,15;36,4,6.7199999999998;6.97999999999956;7.45999999999958;7.83999999999969;8.45999999999958,6.9399999999996;7.31999999999971;7.77999999999975;8.35999999999967;9.05999999999995;-2178.76;-2178.76;-2178.76;-2178.76;-2178.76;-2178.76;-2178.76;-2178.76
Rat,8031,1,1,12,Short,PI,15;36,4,0,-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78;-2294.78
Rat,8031,1,1,13,Short,PI,15;36,4,4.12000000000035;4.42000000000007;4.76000000000022;5.02000000000044;5.36000000000013;5.72000000000026;6.08000000000038;6.46000000000004,4.34000000000015;4.68000000000029;4.98000000000002;5.2800000000002;5.58000000000038;6;6.42000000000007;6.72000000000026;-3259.24;-3259.24
Rat,8031,1,1,14,Short,PI,15;36,4,5.65999999999985;6.07999999999993;7.2199999999998,5.95999999999958;6.59999999999991;7.73999999999978;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26;-3375.26
Rat,8031,1,1,15,Short,PI,15;36,4,5.66,5.85999999999967;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34;-3803.34
Rat,8031,1,1,16,Short,PI,15;36,4,12.46;12.7000000000007;13.4000000000005;14.5200000000004,12.6200000000008;13.0200000000004;14.4400000000005;14.7200000000003;-4144.4;-4144.4;-4144.4;-4144.4;-4144.4;-4144.4;-4144.4;-4144.4;-4144.4;-4144.4
Rat,8031,1,1,17,Short,PI,15;36,4,11.8400000000001;12.2399999999998;12.6199999999999,12.1400000000003;12.54;13;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42;-4247.42
Rat,8031,1,1,18,Short,PI,15;36,4,4.03999999999996;5.07999999999993,4.4399999999996;5.31999999999971;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14;-4668.14
Rat,8031,1,1,19,Short,PI,15;36,4,11.6999999999998;12.9399999999996,12.1399999999994;13.1599999999999;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3;-4989.3
Rat,8031,1,1,20,Short,PI,15;36,4,0.840000000000146;1.20000000000073;1.48000000000047;2.02000000000044;2.48000000000047;3.11999999999989;3.46000000000004;4.44000000000051,1.0600000000004;1.42000000000007;1.86000000000058;2.36000000000058;2.94000000000051;3.42000000000007;4.28000000000066;4.64000000000033;-5114.32;-5114.32
Rat,8031,1,1,21,Short,PI,15;36,4,6.65999999999985;7.60000000000036;8.68000000000029,6.90000000000055;8.5600000000004;8.76000000000022;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7;-5430.7
Rat,8031,1,1,22,Short,PI,15;36,4,39.0999999999995;39.6399999999994,39.54;40.5799999999999;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26;-5766.26
Rat,8031,1,1,23,Short,PI,15;36,4,0,-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28;-5902.28
Rat,8031,1,1,24,Short,PI,15;36,4,-1.98,-1.73999999999978;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32;-6236.32
Rat,8031,1,1,25,Short,PI,15;36,4,0,-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8;-6702.8
Rat,8031,1,1,1,Long,PI,15;36,12,3.31999999999999;4.13999999999999;4.59999999999997;4.94;5.29999999999995;5.75999999999999;6.03999999999996;6.25999999999999;6.65999999999997;7.06;7.45999999999998;7.79999999999995;8.03999999999996;8.41999999999996;9.09999999999997;9.75999999999999;10.26;10.68;11.72;12.06;12.66;13.36;13.9;14.5,3.44;4.51999999999998;4.91999999999996;5.23999999999995;5.5;5.89999999999998;6.17999999999995;6.45999999999998;6.97999999999996;7.33999999999998;7.69999999999999;8;8.33999999999998;8.59999999999997;9.73999999999995;10.08;10.54;11.58;11.84;12.2;13.3;13.74;14.2;14.6;-481.1;-481.1;-481.1;-481.1;-481.1;-481.1
