Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Test_Duration,Response,Reference_Intervals,Size,Symbol,ExperimentNumber,Instruct,Odtest
Human,17,331,1,1,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.4,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,2,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.528,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,3,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.592,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,4,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.528,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,5,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.464,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,6,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.208,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,7,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.272,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,8,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.208,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,9,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.208,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,10,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.592,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,11,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.208,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,12,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.464,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,13,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.464,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,14,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.272,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,15,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.336,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,16,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.592,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,17,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.4,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,18,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.4,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,19,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.336,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,20,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.592,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,21,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.4,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,22,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.592,L,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
Human,17,331,1,23,auditory,TB,0.208;0.272;0.336;0.400;0.464;0.528;0.592,0.272,S,0.208;0.592,NaN,NaN,1,STIMULATING,STRAWBERRY
