Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Test_Duration,Response,Reference_Intervals,Condition
Human,1,1,1,1,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.4,S,.9;3.45,2
Human,1,1,1,2,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,3.45,L,.9;3.45,2
Human,1,1,1,3,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,0.9,S,.9;3.45,1
Human,1,1,1,4,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,0.9,S,.9;3.45,2
Human,1,1,1,5,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.4,S,.9;3.45,2
Human,1,1,1,6,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.2,L,.9;3.45,2
Human,1,1,1,7,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,1
Human,1,1,1,8,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.125,S,.9;3.45,1
Human,1,1,1,9,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.2,L,.9;3.45,1
Human,1,1,1,10,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,0.9,S,.9;3.45,1
Human,1,1,1,11,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,0.9,S,.9;3.45,1
Human,1,1,1,12,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.4,S,.9;3.45,1
Human,1,1,1,13,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,3.45,L,.9;3.45,1
Human,1,1,1,14,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.4,S,.9;3.45,2
Human,1,1,1,15,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,3.45,L,.9;3.45,2
Human,1,1,1,16,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.75,S,.9;3.45,1
Human,1,1,1,17,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.4,S,.9;3.45,1
Human,1,1,1,18,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.4,S,.9;3.45,1
Human,1,1,1,19,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,0.9,S,.9;3.45,2
Human,1,1,1,20,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,2
Human,1,1,1,21,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.2,L,.9;3.45,1
Human,1,1,1,22,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.125,S,.9;3.45,1
Human,1,1,1,23,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,3.45,L,.9;3.45,2
Human,1,1,1,24,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.125,S,.9;3.45,1
Human,1,1,1,25,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.125,S,.9;3.45,2
Human,1,1,1,26,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,3.45,L,.9;3.45,2
Human,1,1,1,27,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,1
Human,1,1,1,28,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,1
Human,1,1,1,29,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,1
Human,1,1,1,30,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,1
Human,1,1,1,31,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.75,S,.9;3.45,2
Human,1,1,1,32,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,1.4,S,.9;3.45,2
Human,1,1,1,33,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,2
Human,1,1,1,34,Audiovisual,TB,.9;1.4;1.75;2.2;2.75:3.45,2.75,L,.9;3.45,2
