Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Test_Duration,Response,Reference_Intervals,Var12,Var13,Var14,Var15,Var16,X,moda,durNo,cond,curDur,RP,NSub,NT,valid
Human,1,1,1,1,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1,L,0.4;1.45,NaN,NaN,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.4,NaN,1,1,13,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,2,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,0.55,NaN,2,1,7,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,3,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.4,S,0.4;1.45,NaN,NaN,,0.7,NaN,3,1,25,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,4,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.45,L,0.4;1.45,NaN,NaN,,0.85,NaN,4,1,40,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,5,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.55,S,0.4;1.45,NaN,NaN,,1,NaN,5,1,10,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,6,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.4,S,0.4;1.45,NaN,NaN,,1.15,NaN,6,1,1,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,7,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.15,L,0.4;1.45,NaN,NaN,,1.3,NaN,7,1,14,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,8,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1,L,0.4;1.45,NaN,NaN,,1.45,NaN,8,1,45,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,9,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.4,S,0.4;1.45,NaN,NaN,,NaN,NaN,9,1,9,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,10,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1,L,0.4;1.45,NaN,NaN,,NaN,NaN,10,1,21,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,11,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1,L,0.4;1.45,NaN,NaN,,NaN,NaN,11,1,29,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,12,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.85,L,0.4;1.45,NaN,NaN,,NaN,NaN,12,1,20,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,13,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.15,L,0.4;1.45,NaN,NaN,,NaN,NaN,13,1,46,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,14,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,NaN,NaN,14,1,47,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,15,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,NaN,NaN,15,1,71,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,16,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.55,S,0.4;1.45,NaN,NaN,,NaN,NaN,16,1,58,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,17,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.85,S,0.4;1.45,NaN,NaN,,NaN,NaN,17,1,28,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,18,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,NaN,NaN,18,1,31,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,19,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.15,L,0.4;1.45,NaN,NaN,,NaN,NaN,19,1,22,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,20,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.15,L,0.4;1.45,NaN,NaN,,NaN,NaN,20,1,30,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,21,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.45,L,0.4;1.45,NaN,NaN,,NaN,NaN,21,1,8,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,22,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,NaN,NaN,22,1,71,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,23,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.55,S,0.4;1.45,NaN,NaN,,NaN,NaN,23,1,18,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,24,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.45,L,0.4;1.45,NaN,NaN,,NaN,NaN,24,1,56,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,25,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,NaN,NaN,25,1,63,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,26,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1,S,0.4;1.45,NaN,NaN,,NaN,NaN,26,1,21,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,27,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.7,S,0.4;1.45,NaN,NaN,,NaN,NaN,27,1,19,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,28,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.7,S,0.4;1.45,NaN,NaN,,NaN,NaN,28,1,35,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,29,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,0.85,S,0.4;1.45,NaN,NaN,,NaN,NaN,29,1,60,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,30,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.45,L,0.4;1.45,NaN,NaN,,NaN,NaN,30,1,64,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,31,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,NaN,NaN,31,1,39,1,NaN,NaN,NaN,NaN,0
Human,1,1,1,32,Auditory,TB,0.4;0.55;0.7;0.85;1;1.15;1.3;1.45,1.3,L,0.4;1.45,NaN,NaN,,NaN,NaN,32,1,31,1,NaN,NaN,NaN,NaN,0
