Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Confidence
Human,1,1,1,1,Visual,TR,2.1,2.1,1.3304,2
Human,1,1,1,2,Visual,TR,2.1,2.1,1.8649,2
Human,1,1,1,3,Visual,TR,2.1,2.1,1.8337,1
Human,1,1,1,4,Visual,TR,2.1,2.1,1.8571,1
Human,1,1,1,5,Visual,TR,2.1,2.1,1.6712,1
Human,1,1,1,6,Visual,TR,2.1,2.1,1.985,3
Human,1,1,1,7,Visual,TR,2.1,2.1,1.9392,3
Human,1,1,1,8,Visual,TR,2.1,2.1,1.9134,2
Human,1,1,1,9,Visual,TR,2.1,2.1,1.9078,2
Human,1,1,1,10,Visual,TR,2.1,2.1,1.6881,2
Human,1,1,1,11,Visual,TR,2.1,2.1,1.9967,3
Human,1,1,1,12,Visual,TR,2.1,2.1,1.8495,3
Human,1,1,1,13,Visual,TR,2.1,2.1,1.9243,2
Human,1,1,1,14,Visual,TR,2.1,2.1,1.6789,1
Human,1,1,1,15,Visual,TR,2.1,2.1,1.9629,3
Human,1,1,1,16,Visual,TR,2.1,2.1,2.03,3
Human,1,1,1,17,Visual,TR,2.1,2.1,1.9824,3
Human,1,1,1,18,Visual,TR,2.1,2.1,1.8406,1
Human,1,1,1,19,Visual,TR,2.1,2.1,1.7286,1
Human,1,1,1,20,Visual,TR,2.1,2.1,2.1283,1
Human,1,1,1,21,Visual,TR,2.1,2.1,1.48,3
Human,1,1,1,22,Visual,TR,2.1,2.1,1.6801,2
Human,1,1,1,23,Visual,TR,2.1,2.1,1.4791,2
Human,1,1,1,24,Visual,TR,2.1,2.1,2.0584,3
Human,1,1,1,25,Visual,TR,2.1,2.1,1.7356,3
Human,1,1,1,26,Visual,TR,2.1,2.1,1.8995,1
Human,1,1,1,27,Visual,TR,2.1,2.1,1.2708,1
Human,1,1,1,28,Visual,TR,2.1,2.1,2.1262,3
Human,1,1,1,29,Visual,TR,2.1,2.1,1.5731,2
Human,1,1,1,30,Visual,TR,2.1,2.1,2.1067,3
Human,1,1,1,31,Visual,TR,2.1,2.1,2.5101,2
Human,1,1,1,32,Visual,TR,2.1,2.1,1.7626,2
Human,1,1,1,33,Visual,TR,2.1,2.1,1.6323,1
Human,1,1,1,34,Visual,TR,2.1,2.1,1.6904,1
Human,1,1,1,35,Visual,TR,2.1,2.1,2.0746,3
Human,1,1,1,36,Visual,TR,2.1,2.1,2.0487,3
Human,1,1,1,37,Visual,TR,2.1,2.1,1.8132,2
Human,1,1,1,38,Visual,TR,2.1,2.1,1.5773,2
Human,1,1,1,39,Visual,TR,2.1,2.1,1.8191,3
Human,1,1,1,40,Visual,TR,2.1,2.1,2.0146,2
Human,1,1,1,41,Visual,TR,2.1,2.1,2.0768,2
Human,1,1,1,42,Visual,TR,2.1,2.1,1.7936,2
Human,1,1,1,43,Visual,TR,2.1,2.1,1.8158,2
Human,1,1,1,44,Visual,TR,2.1,2.1,2.0868,3
Human,1,1,1,45,Visual,TR,2.1,2.1,1.9233,2
Human,1,1,1,46,Visual,TR,2.1,2.1,2.3203,2
Human,1,1,1,47,Visual,TR,2.1,2.1,1.8345,3
Human,1,1,1,48,Visual,TR,2.1,2.1,2.1621,1
Human,1,1,1,49,Visual,TR,2.1,2.1,2.1443,1
Human,1,1,1,50,Visual,TR,2.1,2.1,1.9186,1
Human,1,1,1,51,Visual,TR,2.1,2.1,2.3862,2
Human,1,1,1,52,Visual,TR,2.1,2.1,1.9135,1
Human,1,1,1,53,Visual,TR,2.1,2.1,2.4367,2
Human,1,1,1,54,Visual,TR,2.1,2.1,1.8443,3
Human,1,1,1,55,Visual,TR,2.1,2.1,2.0217,3
Human,1,1,1,56,Visual,TR,2.1,2.1,1.8969,2
Human,1,1,1,57,Visual,TR,2.1,2.1,2.2669,2
Human,1,1,1,58,Visual,TR,2.1,2.1,2.677,2
Human,1,1,1,59,Visual,TR,2.1,2.1,2.7741,1
Human,1,1,1,60,Visual,TR,2.1,2.1,1.8263,1
Human,1,1,2,1,Visual,TR,4.2,4.2,4.0456,1
Human,1,1,2,2,Visual,TR,4.2,4.2,4.3469,3
Human,1,1,2,3,Visual,TR,4.2,4.2,4.5008,1
Human,1,1,2,4,Visual,TR,4.2,4.2,3.7831,2
Human,1,1,2,5,Visual,TR,4.2,4.2,4.2819,2
Human,1,1,2,6,Visual,TR,4.2,4.2,3.4131,2
Human,1,1,2,7,Visual,TR,4.2,4.2,4.4835,1
Human,1,1,2,8,Visual,TR,4.2,4.2,2.3056,2
Human,1,1,2,9,Visual,TR,4.2,4.2,3.5819,1
Human,1,1,2,10,Visual,TR,4.2,4.2,3.3483,2
Human,1,1,2,11,Visual,TR,4.2,4.2,3.9015,2
Human,1,1,2,12,Visual,TR,4.2,4.2,3.2369,2
Human,1,1,2,13,Visual,TR,4.2,4.2,3.8358,1
Human,1,1,2,14,Visual,TR,4.2,4.2,4.7223,2
Human,1,1,2,15,Visual,TR,4.2,4.2,2.8887,1
Human,1,1,2,16,Visual,TR,4.2,4.2,4.7938,2
Human,1,1,2,17,Visual,TR,4.2,4.2,4.2696,2
Human,1,1,2,18,Visual,TR,4.2,4.2,3.9215,2
Human,1,1,2,19,Visual,TR,4.2,4.2,3.3926,2
Human,1,1,2,20,Visual,TR,4.2,4.2,4.2034,1
Human,1,1,2,21,Visual,TR,4.2,4.2,3.6127,3
Human,1,1,2,22,Visual,TR,4.2,4.2,3.7517,1
Human,1,1,2,23,Visual,TR,4.2,4.2,3.7613,2
Human,1,1,2,24,Visual,TR,4.2,4.2,3.5391,1
Human,1,1,2,25,Visual,TR,4.2,4.2,3.3492,1
Human,1,1,2,26,Visual,TR,4.2,4.2,3.8735,2
Human,1,1,2,27,Visual,TR,4.2,4.2,3.4287,2
Human,1,1,2,28,Visual,TR,4.2,4.2,3.1814,2
Human,1,1,2,29,Visual,TR,4.2,4.2,3.5183,1
Human,1,1,2,30,Visual,TR,4.2,4.2,4.8413,2
Human,1,1,2,31,Visual,TR,4.2,4.2,4.0181,1
Human,1,1,2,32,Visual,TR,4.2,4.2,3.3889,2
Human,1,1,2,33,Visual,TR,4.2,4.2,2.9403,3
Human,1,1,2,34,Visual,TR,4.2,4.2,3.7102,2
Human,1,1,2,35,Visual,TR,4.2,4.2,4.1389,1
Human,1,1,2,36,Visual,TR,4.2,4.2,3.7269,2
Human,1,1,2,37,Visual,TR,4.2,4.2,3.8978,2
Human,1,1,2,38,Visual,TR,4.2,4.2,4.2183,3
Human,1,1,2,39,Visual,TR,4.2,4.2,3.5054,2
Human,1,1,2,40,Visual,TR,4.2,4.2,2.6469,2
Human,1,1,2,41,Visual,TR,4.2,4.2,3.5163,2
Human,1,1,2,42,Visual,TR,4.2,4.2,4.2806,1
Human,1,1,2,43,Visual,TR,4.2,4.2,3.8291,2
Human,1,1,2,44,Visual,TR,4.2,4.2,4.5056,1
Human,1,1,2,45,Visual,TR,4.2,4.2,4.4142,2
Human,1,1,2,46,Visual,TR,4.2,4.2,3.8638,2
Human,1,1,2,47,Visual,TR,4.2,4.2,3.4106,2
Human,1,1,2,48,Visual,TR,4.2,4.2,4.2819,2
Human,1,1,2,49,Visual,TR,4.2,4.2,4.0518,2
Human,1,1,2,50,Visual,TR,4.2,4.2,3.5251,2
Human,1,1,2,51,Visual,TR,4.2,4.2,3.9683,2
Human,1,1,2,52,Visual,TR,4.2,4.2,4.7721,3
Human,1,1,2,53,Visual,TR,4.2,4.2,5.0759,1
Human,1,1,2,54,Visual,TR,4.2,4.2,4.3325,2
Human,1,1,2,55,Visual,TR,4.2,4.2,4.0893,1
Human,1,1,2,56,Visual,TR,4.2,4.2,3.6494,2
Human,1,1,2,57,Visual,TR,4.2,4.2,4.4688,1
Human,1,1,2,58,Visual,TR,4.2,4.2,4.2798,3
Human,1,1,2,59,Visual,TR,4.2,4.2,4.1478,1
Human,1,1,2,60,Visual,TR,4.2,4.2,3.8858,2
Human,1,1,3,1,Visual,TR,NaN,4.2,4.6322,2
Human,1,1,3,2,Visual,TR,NaN,2.1,1.8641,2
Human,1,1,3,3,Visual,TR,NaN,2.1,2.8594,3
Human,1,1,3,4,Visual,TR,NaN,2.1,2.2901,1
Human,1,1,3,5,Visual,TR,NaN,4.2,3.666,2
Human,1,1,3,6,Visual,TR,NaN,2.1,2.7943,3
Human,1,1,3,7,Visual,TR,NaN,4.2,4.5086,3
Human,1,1,3,8,Visual,TR,NaN,4.2,3.6839,2
Human,1,1,3,9,Visual,TR,NaN,4.2,4.3849,1
Human,1,1,3,10,Visual,TR,NaN,2.1,2.611,2
Human,1,1,3,11,Visual,TR,NaN,4.2,3.3667,3
Human,1,1,3,12,Visual,TR,NaN,4.2,4.4449,2
Human,1,1,3,13,Visual,TR,NaN,4.2,4.2272,1
Human,1,1,3,14,Visual,TR,NaN,2.1,2.7346,3
Human,1,1,3,15,Visual,TR,NaN,2.1,2.0416,3
Human,1,1,3,16,Visual,TR,NaN,4.2,3.4366,2
Human,1,1,3,17,Visual,TR,NaN,4.2,3.5732,2
Human,1,1,3,18,Visual,TR,NaN,4.2,4.4705,2
Human,1,1,3,19,Visual,TR,NaN,2.1,2.456,3
Human,1,1,3,20,Visual,TR,NaN,4.2,3.572,2
Human,1,1,3,21,Visual,TR,NaN,2.1,2.6351,2
Human,1,1,3,22,Visual,TR,NaN,4.2,3.9341,1
Human,1,1,3,23,Visual,TR,NaN,2.1,2.6789,2
Human,1,1,3,24,Visual,TR,NaN,2.1,2.6375,3
Human,1,1,3,25,Visual,TR,NaN,4.2,3.2705,2
Human,1,1,3,26,Visual,TR,NaN,2.1,1.9879,3
Human,1,1,3,27,Visual,TR,NaN,2.1,2.448,2
Human,1,1,3,28,Visual,TR,NaN,2.1,2.2342,2
Human,1,1,3,29,Visual,TR,NaN,4.2,4.2717,2
Human,1,1,3,30,Visual,TR,NaN,2.1,2.3176,3
Human,1,1,3,31,Visual,TR,NaN,2.1,2.4872,2
Human,1,1,3,32,Visual,TR,NaN,2.1,2.0733,2
Human,1,1,3,33,Visual,TR,NaN,2.1,2.1004,3
Human,1,1,3,34,Visual,TR,NaN,2.1,2.267,2
Human,1,1,3,35,Visual,TR,NaN,4.2,3.4026,3
Human,1,1,3,36,Visual,TR,NaN,2.1,2.3684,2
Human,1,1,3,37,Visual,TR,NaN,2.1,1.9642,1
Human,1,1,3,38,Visual,TR,NaN,4.2,3.9613,2
Human,1,1,3,39,Visual,TR,NaN,2.1,2.6599,2
Human,1,1,3,40,Visual,TR,NaN,4.2,4.3077,2
Human,1,1,3,41,Visual,TR,NaN,4.2,4.3359,2
Human,1,1,3,42,Visual,TR,NaN,2.1,2.1765,2
Human,1,1,3,43,Visual,TR,NaN,4.2,4.1297,2
Human,1,1,3,44,Visual,TR,NaN,4.2,3.4552,1
Human,1,1,3,45,Visual,TR,NaN,4.2,3.5342,2
Human,1,1,3,46,Visual,TR,NaN,4.2,3.9503,2
Human,1,1,3,47,Visual,TR,NaN,4.2,3.1196,2
Human,1,1,3,48,Visual,TR,NaN,2.1,1.8725,2
Human,1,1,3,49,Visual,TR,NaN,2.1,2.8855,2
Human,1,1,3,50,Visual,TR,NaN,2.1,2.4623,2
Human,1,1,3,51,Visual,TR,NaN,2.1,3.0173,2
Human,1,1,3,52,Visual,TR,NaN,2.1,2.5802,2
Human,1,1,3,53,Visual,TR,NaN,4.2,3.5046,2
Human,1,1,3,54,Visual,TR,NaN,4.2,4.4557,2
Human,1,1,3,55,Visual,TR,NaN,2.1,3.4446,2
Human,1,1,3,56,Visual,TR,NaN,4.2,4.0432,2
Human,1,1,3,57,Visual,TR,NaN,2.1,2.6292,2
Human,1,1,3,58,Visual,TR,NaN,4.2,3.2557,1
Human,1,1,3,59,Visual,TR,NaN,4.2,3.301,2
Human,1,1,3,60,Visual,TR,NaN,4.2,4.7758,2
Human,1,1,3,61,Visual,TR,NaN,4.2,3.5668,2
Human,1,1,3,62,Visual,TR,NaN,2.1,2.4255,2
Human,1,1,3,63,Visual,TR,NaN,4.2,4.343,1
Human,1,1,3,64,Visual,TR,NaN,4.2,3.7899,2
Human,1,1,3,65,Visual,TR,NaN,2.1,2.4068,2
Human,1,1,3,66,Visual,TR,NaN,2.1,1.9796,2
Human,1,1,3,67,Visual,TR,NaN,2.1,2.2712,2
Human,1,1,3,68,Visual,TR,NaN,4.2,3.4945,2
Human,1,1,3,69,Visual,TR,NaN,2.1,2.4204,2
Human,1,1,3,70,Visual,TR,NaN,4.2,2.2958,2
Human,1,1,3,71,Visual,TR,NaN,2.1,2.6037,2
Human,1,1,3,72,Visual,TR,NaN,2.1,1.7947,2
Human,1,1,3,73,Visual,TR,NaN,2.1,2.1659,2
Human,1,1,3,74,Visual,TR,NaN,4.2,3.4507,2
Human,1,1,3,75,Visual,TR,NaN,2.1,2.1826,2
Human,1,1,3,76,Visual,TR,NaN,4.2,4.3098,1
Human,1,1,3,77,Visual,TR,NaN,4.2,3.8194,2
Human,1,1,3,78,Visual,TR,NaN,4.2,4.1661,2
Human,1,1,3,79,Visual,TR,NaN,4.2,3.4364,2
Human,1,1,3,80,Visual,TR,NaN,2.1,2.4835,3
Human,1,1,3,81,Visual,TR,NaN,2.1,2.5391,2
Human,1,1,3,82,Visual,TR,NaN,4.2,3.4434,2
Human,1,1,3,83,Visual,TR,NaN,4.2,2.6608,1
Human,1,1,3,84,Visual,TR,NaN,4.2,3.5174,2
Human,1,1,3,85,Visual,TR,NaN,4.2,3.695,1
Human,1,1,3,86,Visual,TR,NaN,4.2,4.0666,2
Human,1,1,3,87,Visual,TR,NaN,2.1,2.1339,2
Human,1,1,3,88,Visual,TR,NaN,2.1,3.1999,2
Human,1,1,3,89,Visual,TR,NaN,2.1,2.5448,3
Human,1,1,3,90,Visual,TR,NaN,2.1,2.4682,2
Human,2,1,1,1,Visual,TR,2.1,2.1,1.686,2
Human,2,1,1,2,Visual,TR,2.1,2.1,1.4699,2
Human,2,1,1,3,Visual,TR,2.1,2.1,1.6679,2
Human,2,1,1,4,Visual,TR,2.1,2.1,1.6504,3
Human,2,1,1,5,Visual,TR,2.1,2.1,1.8411,3
Human,2,1,1,6,Visual,TR,2.1,2.1,6.114,1
Human,2,1,1,7,Visual,TR,2.1,2.1,1.8239,3
Human,2,1,1,8,Visual,TR,2.1,2.1,1.702,2
Human,2,1,1,9,Visual,TR,2.1,2.1,1.4069,2
Human,2,1,1,10,Visual,TR,2.1,2.1,1.3145,1
Human,2,1,1,11,Visual,TR,2.1,2.1,2.2698,3
Human,2,1,1,12,Visual,TR,2.1,2.1,1.8468,3
Human,2,1,1,13,Visual,TR,2.1,2.1,2.088,2
Human,2,1,1,14,Visual,TR,2.1,2.1,1.9443,2
Human,2,1,1,15,Visual,TR,2.1,2.1,2.2891,2
Human,2,1,1,16,Visual,TR,2.1,2.1,2.399,2
Human,2,1,1,17,Visual,TR,2.1,2.1,1.9765,3
Human,2,1,1,18,Visual,TR,2.1,2.1,1.9864,3
Human,2,1,1,19,Visual,TR,2.1,2.1,1.9551,3
Human,2,1,1,20,Visual,TR,2.1,2.1,2.2586,2
Human,2,1,1,21,Visual,TR,2.1,2.1,1.8766,2
Human,2,1,1,22,Visual,TR,2.1,2.1,1.9528,2
Human,2,1,1,23,Visual,TR,2.1,2.1,1.6309,2
Human,2,1,1,24,Visual,TR,2.1,2.1,1.7972,2
Human,2,1,1,25,Visual,TR,2.1,2.1,1.8129,2
Human,2,1,1,26,Visual,TR,2.1,2.1,1.8795,2
Human,2,1,1,27,Visual,TR,2.1,2.1,2.2237,2
Human,2,1,1,28,Visual,TR,2.1,2.1,1.6738,3
Human,2,1,1,29,Visual,TR,2.1,2.1,1.7146,3
Human,2,1,1,30,Visual,TR,2.1,2.1,1.8972,3
Human,2,1,1,31,Visual,TR,2.1,2.1,2.2033,3
Human,2,1,1,32,Visual,TR,2.1,2.1,2.4083,2
Human,2,1,1,33,Visual,TR,2.1,2.1,1.9776,2
Human,2,1,1,34,Visual,TR,2.1,2.1,1.7486,3
Human,2,1,1,35,Visual,TR,2.1,2.1,2.3376,3
Human,2,1,1,36,Visual,TR,2.1,2.1,1.5857,2
Human,2,1,1,37,Visual,TR,2.1,2.1,1.9877,3
Human,2,1,1,38,Visual,TR,2.1,2.1,1.6478,3
Human,2,1,1,39,Visual,TR,2.1,2.1,1.7046,3
