Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response
Human,10,1,1,1,Visual,TR,2.12;4.24,4.24,0.654814005
Human,10,1,1,2,Visual,TR,2.12;4.24,4.24,2.159558058
Human,10,1,1,3,Visual,TR,2.12;4.24,2.12,1.341440916
Human,10,1,1,4,Visual,TR,2.12;4.24,4.24,1.73664403
Human,10,1,1,5,Visual,TR,2.12;4.24,4.24,2.698533058
Human,10,1,1,6,Visual,TR,2.12;4.24,4.24,5.747320175
Human,10,1,1,7,Visual,TR,2.12;4.24,2.12,1.749171019
Human,10,1,1,8,Visual,TR,2.12;4.24,2.12,4.181643009
Human,10,1,1,9,Visual,TR,2.12;4.24,2.12,1.454236984
Human,10,1,1,10,Visual,TR,2.12;4.24,4.24,2.857878923
Human,10,1,1,11,Visual,TR,2.12;4.24,4.24,2.794349909
Human,10,1,1,12,Visual,TR,2.12;4.24,2.12,1.52762413
Human,10,1,1,13,Visual,TR,2.12;4.24,4.24,2.327908993
Human,10,1,1,14,Visual,TR,2.12;4.24,2.12,1.212447882
Human,10,1,1,15,Visual,TR,2.12;4.24,2.12,1.495223045
Human,10,1,1,16,Visual,TR,2.12;4.24,4.24,2.61026597
Human,10,1,1,17,Visual,TR,2.12;4.24,4.24,3.32108283
Human,10,1,1,18,Visual,TR,2.12;4.24,4.24,3.641649008
Human,10,1,1,19,Visual,TR,2.12;4.24,2.12,3.033532143
Human,10,1,1,20,Visual,TR,2.12;4.24,2.12,1.454125166
Human,10,1,1,21,Visual,TR,2.12;4.24,4.24,2.921483994
Human,10,1,1,22,Visual,TR,2.12;4.24,2.12,1.78223896
Human,10,1,1,23,Visual,TR,2.12;4.24,2.12,2.580352068
Human,10,1,1,24,Visual,TR,2.12;4.24,2.12,2.427002907
Human,10,1,1,25,Visual,TR,2.12;4.24,2.12,1.891739845
Human,10,1,2,1,Visual,TR,2.12;4.24,4.24,3.046648979
Human,10,1,2,2,Visual,TR,2.12;4.24,2.12,1.956856012
Human,10,1,2,3,Visual,TR,2.12;4.24,2.12,1.741359949
Human,10,1,2,4,Visual,TR,2.12;4.24,2.12,1.574768066
Human,10,1,2,5,Visual,TR,2.12;4.24,2.12,2.067311049
Human,10,1,2,6,Visual,TR,2.12;4.24,4.24,2.897306204
Human,10,1,2,7,Visual,TR,2.12;4.24,2.12,0.924685001
Human,10,1,2,8,Visual,TR,2.12;4.24,4.24,3.453676939
Human,10,1,2,9,Visual,TR,2.12;4.24,2.12,1.674026012
Human,10,1,2,10,Visual,TR,2.12;4.24,2.12,2.462652922
