Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Training,Congruency
Human,1,1,1,1,Visual,TR,0.8,0.8,0.685,Training,0
Human,1,1,1,2,Visual,TR,2.4,2.4,1.6,Training,1
Human,1,1,1,3,Visual,TR,0.8,0.8,0.703,Training,1
Human,1,1,1,4,Auditory,TR,2.4,2.4,1.527,Training,1
Human,1,1,1,5,Auditory,TR,0.8,0.8,0.915,Training,0
Human,1,1,1,6,Auditory,TR,0.8,0.8,0.65,Training,1
Human,1,1,1,7,Auditory,TR,2.4,2.4,2.2,Training,0
Human,1,1,1,8,Visual,TR,2.4,2.4,0.992,Training,0
Human,1,1,2,1,Auditory,TR,2.4,2.4,1.837,Testing,1
Human,1,1,2,2,Auditory,TR,0.8,0.8,1.023,Testing,0
Human,1,1,2,3,Visual,TR,2.4,2.4,1.044,Testing,0
Human,1,1,2,4,Auditory,TR,0.8,0.8,0.722,Testing,1
Human,1,1,2,5,Auditory,TR,0.8,0.8,0.661,Testing,1
Human,1,1,2,6,Visual,TR,0.8,0.8,0.757,Testing,1
Human,1,1,2,7,Visual,TR,0.8,0.8,0.755,Testing,0
Human,1,1,2,8,Visual,TR,2.4,2.4,1.726,Testing,0
Human,1,1,2,9,Auditory,TR,2.4,2.4,2.85,Testing,0
Human,1,1,2,10,Auditory,TR,0.8,0.8,0.519,Testing,1
Human,1,1,2,11,Visual,TR,2.4,2.4,2.424,Testing,1
Human,1,1,2,12,Auditory,TR,2.4,2.4,3.341,Testing,0
Human,1,1,2,13,Auditory,TR,2.4,2.4,2.144,Testing,1
Human,1,1,2,14,Visual,TR,0.8,0.8,0.585,Testing,0
Human,1,1,2,15,Auditory,TR,2.4,2.4,1.828,Testing,1
Human,1,1,2,16,Auditory,TR,2.4,2.4,3.34,Testing,0
Human,1,1,2,17,Visual,TR,0.8,0.8,0.632,Testing,0
Human,1,1,2,18,Visual,TR,2.4,2.4,1.474,Testing,0
Human,1,1,2,19,Auditory,TR,0.8,0.8,0.724,Testing,1
