Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Congruency,Practice
Human,1,1,1,1,Auditory,TR,2.4,2.4,2.018,1,Training
Human,1,1,1,2,Auditory,TR,0.8,0.8,0.794,1,Training
Human,1,1,1,3,Auditory,TR,0.8,0.8,1.286,0,Training
Human,1,1,1,4,Auditory,TR,2.4,2.4,1.491,0,Training
Human,1,1,1,5,Auditory,TR,2.4,2.4,2.13,1,Training
Human,1,1,1,6,Auditory,TR,0.8,0.8,0.913,1,Training
Human,1,1,1,7,Auditory,TR,0.8,0.8,0.894,0,Training
Human,1,1,1,8,Auditory,TR,2.4,2.4,1.598,0,Training
Human,1,1,2,1,Auditory,TR,2.4,2.4,2.312,0,Testing
Human,1,1,2,2,Auditory,TR,0.8,0.8,0.548,0,Testing
Human,1,1,2,3,Auditory,TR,0.8,0.8,1.045,0,Testing
Human,1,1,2,4,Auditory,TR,0.8,0.8,0.7,1,Testing
Human,1,1,2,5,Auditory,TR,2.4,2.4,1.78,0,Testing
Human,1,1,2,6,Auditory,TR,0.8,0.8,0.316,0,Testing
Human,1,1,2,7,Auditory,TR,0.8,0.8,0.712,0,Testing
Human,1,1,2,8,Auditory,TR,2.4,2.4,2.277,1,Testing
Human,1,1,2,9,Auditory,TR,0.8,0.8,0.752,1,Testing
Human,1,1,2,10,Auditory,TR,0.8,0.8,0.837,0,Testing
Human,1,1,2,11,Auditory,TR,0.8,0.8,0.712,0,Testing
Human,1,1,2,12,Auditory,TR,2.4,2.4,1.765,1,Testing
Human,1,1,2,13,Auditory,TR,2.4,2.4,2.362,1,Testing
Human,1,1,2,14,Auditory,TR,2.4,2.4,2.081,1,Testing
Human,1,1,2,15,Auditory,TR,0.8,0.8,0.915,1,Testing
Human,1,1,2,16,Auditory,TR,2.4,2.4,2.376,0,Testing
Human,1,1,2,17,Auditory,TR,2.4,2.4,2.127,1,Testing
Human,1,1,2,18,Auditory,TR,0.8,0.8,0.878,1,Testing
Human,1,1,2,19,Auditory,TR,2.4,2.4,1.667,0,Testing
Human,1,1,2,20,Auditory,TR,0.8,0.8,0.877,1,Testing
Human,1,1,2,21,Auditory,TR,0.8,0.8,0.712,1,Testing
Human,1,1,2,22,Auditory,TR,0.8,0.8,0.701,1,Testing
Human,1,1,2,23,Auditory,TR,2.4,2.4,2.029,1,Testing
Human,1,1,2,24,Auditory,TR,2.4,2.4,1.911,1,Testing
Human,1,1,2,25,Auditory,TR,2.4,2.4,1.747,1,Testing
Human,1,1,2,26,Auditory,TR,0.8,0.8,1.412,0,Testing
Human,1,1,2,27,Auditory,TR,2.4,2.4,2.354,0,Testing
Human,1,1,2,28,Auditory,TR,2.4,2.4,1.989,0,Testing
Human,1,1,2,29,Auditory,TR,0.8,0.8,0.718,1,Testing
Human,1,1,2,30,Auditory,TR,2.4,2.4,1.652,0,Testing
Human,1,1,2,31,Auditory,TR,0.8,0.8,1.108,0,Testing
Human,1,1,2,32,Auditory,TR,2.4,2.4,1.942,0,Testing
Human,1,1,3,1,Auditory,TR,2.4,2.4,1.306,0,Testing
Human,1,1,3,2,Auditory,TR,0.8,0.8,0.884,1,Testing
Human,1,1,3,3,Auditory,TR,0.8,0.8,1.01,0,Testing
Human,1,1,3,4,Auditory,TR,2.4,2.4,1.561,0,Testing
Human,1,1,3,5,Auditory,TR,0.8,0.8,0.67,1,Testing
Human,1,1,3,6,Auditory,TR,2.4,2.4,1.914,1,Testing
Human,1,1,3,7,Auditory,TR,0.8,0.8,0.589,1,Testing
Human,1,1,3,8,Auditory,TR,0.8,0.8,0.662,1,Testing
Human,1,1,3,9,Auditory,TR,0.8,0.8,0.629,1,Testing
Human,1,1,3,10,Auditory,TR,2.4,2.4,2.208,1,Testing
Human,1,1,3,11,Auditory,TR,2.4,2.4,2.334,0,Testing
Human,1,1,3,12,Auditory,TR,2.4,2.4,1.96,1,Testing
Human,1,1,3,13,Auditory,TR,0.8,0.8,0.514,0,Testing
Human,1,1,3,14,Auditory,TR,0.8,0.8,1.174,0,Testing
Human,1,1,3,15,Auditory,TR,2.4,2.4,2.133,1,Testing
Human,1,1,3,16,Auditory,TR,0.8,0.8,0.692,1,Testing
Human,1,1,3,17,Auditory,TR,2.4,2.4,2.453,1,Testing
Human,1,1,3,18,Auditory,TR,2.4,2.4,2.78,1,Testing
Human,1,1,3,19,Auditory,TR,2.4,2.4,2.285,0,Testing
Human,1,1,3,20,Auditory,TR,0.8,0.8,1.146,0,Testing
Human,1,1,3,21,Auditory,TR,0.8,0.8,1.108,1,Testing
Human,1,1,3,22,Auditory,TR,2.4,2.4,2.368,1,Testing
Human,1,1,3,23,Auditory,TR,2.4,2.4,1.998,0,Testing
Human,1,1,3,24,Auditory,TR,0.8,0.8,0.851,1,Testing
Human,1,1,3,25,Auditory,TR,0.8,0.8,0.955,0,Testing
Human,1,1,3,26,Auditory,TR,2.4,2.4,1.031,0,Testing
Human,1,1,3,27,Auditory,TR,2.4,2.4,2.267,1,Testing
Human,1,1,3,28,Auditory,TR,0.8,0.8,0.502,0,Testing
Human,1,1,3,29,Auditory,TR,0.8,0.8,0.767,0,Testing
Human,1,1,3,30,Auditory,TR,2.4,2.4,1.356,0,Testing
Human,1,1,3,31,Auditory,TR,2.4,2.4,2.417,0,Testing
Human,1,1,3,32,Auditory,TR,0.8,0.8,1.041,0,Testing
Human,1,1,4,1,Auditory,TR,0.8,0.8,0.935,1,Testing
Human,1,1,4,2,Auditory,TR,2.4,2.4,2.245,1,Testing
Human,1,1,4,3,Auditory,TR,2.4,2.4,1.826,1,Testing
Human,1,1,4,4,Auditory,TR,2.4,2.4,2.452,0,Testing
Human,1,1,4,5,Auditory,TR,0.8,0.8,0.626,0,Testing
Human,1,1,4,6,Auditory,TR,0.8,0.8,0.647,0,Testing
Human,1,1,4,7,Auditory,TR,2.4,2.4,2.495,1,Testing
Human,1,1,4,8,Auditory,TR,2.4,2.4,2.413,0,Testing
Human,1,1,4,9,Auditory,TR,2.4,2.4,1.999,0,Testing
Human,1,1,4,10,Auditory,TR,0.8,0.8,1.212,0,Testing
Human,1,1,4,11,Auditory,TR,0.8,0.8,0.649,1,Testing
Human,1,1,4,12,Auditory,TR,0.8,0.8,0.662,1,Testing
