Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Accuracy,Range,AgeGroup
Human,1,1,1,11,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,2.511677084,0,Long,5 years
Human,1,1,1,12,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.893814692,1,Long,5 years
Human,1,1,1,13,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.857421819,0,Long,5 years
Human,1,1,1,14,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.174532345,1,Long,5 years
Human,1,1,1,15,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,3.454294887,0,Long,5 years
Human,1,1,1,16,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,2.536201517,0,Long,5 years
Human,1,1,1,17,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.891750692,1,Long,5 years
Human,1,1,1,18,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,0.854423154,1,Long,5 years
Human,1,1,1,19,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.738089872,0,Long,5 years
Human,1,1,1,20,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.165171016,1,Long,5 years
Human,1,1,1,21,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,0.876963144,0,Long,5 years
Human,1,1,1,22,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.901230244,1,Long,5 years
Human,1,1,1,23,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.45424022,0,Long,5 years
Human,1,1,1,24,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.397331357,1,Long,5 years
Human,1,1,1,25,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.383018474,0,Long,5 years
Human,1,1,2,26,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.788338294,0,Long,5 years
Human,1,1,2,27,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.703666332,0,Long,5 years
Human,1,1,2,28,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.562073506,0,Long,5 years
Human,1,1,2,29,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.475484211,0,Long,5 years
Human,1,1,2,30,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,2.418218903,0,Long,5 years
Human,1,1,2,31,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.345114935,0,Long,5 years
Human,1,1,2,32,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.044115069,0,Long,5 years
Human,1,1,2,33,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.085824828,1,Long,5 years
Human,1,1,2,34,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.124551922,1,Long,5 years
Human,1,1,2,35,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.204133221,0,Long,5 years
Human,1,1,2,36,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.993765314,0,Long,5 years
Human,1,1,2,37,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.608317041,1,Long,5 years
Human,1,1,2,38,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,0.04391418,0,Long,5 years
Human,1,1,2,39,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.884789362,0,Long,5 years
Human,1,1,2,40,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.406455353,0,Long,5 years
Human,1,1,3,41,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.141467915,1,Long,5 years
Human,1,1,3,42,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.543250403,1,Long,5 years
Human,1,1,3,43,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.582947719,0,Long,5 years
Human,1,1,3,44,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.192960781,1,Long,5 years
Human,1,1,3,45,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.651559688,1,Long,5 years
Human,1,1,3,46,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.035107962,1,Long,5 years
Human,1,1,3,47,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.872665368,0,Long,5 years
Human,1,1,3,48,Visual,TR,0.9;1;1.1;1.2;1.3,1,0.757718308,1,Long,5 years
Human,1,1,3,49,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,0.373642478,0,Long,5 years
Human,1,1,3,50,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.327107388,1,Long,5 years
Human,1,1,3,51,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.348052267,0,Long,5 years
Human,1,1,3,52,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.042565737,0,Long,5 years
Human,1,1,3,53,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.550293511,0,Long,5 years
Human,1,1,3,54,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,0.938632894,1,Long,5 years
Human,1,1,3,55,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,3.491937537,0,Long,5 years
Human,1,1,4,56,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.745259647,0,Long,5 years
Human,1,1,4,57,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,2.634161029,0,Long,5 years
Human,1,1,4,58,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,2.644303247,0,Long,5 years
Human,1,1,4,59,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,0.042752848,0,Long,5 years
Human,1,1,4,60,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.524193523,1,Long,5 years
Human,1,1,4,61,Visual,TR,0.9;1;1.1;1.2;1.3,0.9,1.402962465,0,Long,5 years
Human,1,1,4,62,Visual,TR,0.9;1;1.1;1.2;1.3,1,2.249132756,0,Long,5 years
Human,1,1,4,63,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,1.486770873,1,Long,5 years
Human,1,1,4,64,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.674039678,0,Long,5 years
Human,1,1,4,65,Visual,TR,0.9;1;1.1;1.2;1.3,1,1.997023535,0,Long,5 years
Human,1,1,4,66,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,2.717740548,0,Long,5 years
Human,1,1,4,67,Visual,TR,0.9;1;1.1;1.2;1.3,1.3,1.38508114,1,Long,5 years
Human,1,1,4,68,Visual,TR,0.9;1;1.1;1.2;1.3,1.1,1.799878289,0,Long,5 years
Human,1,1,4,69,Visual,TR,0.9;1;1.1;1.2;1.3,1.2,0.044179069,0,Long,5 years
Human,1,1,4,70,Visual,TR,0.9;1;1.1;1.2;1.3,1,2.373764701,0,Long,5 years
Human,1,1,1,11,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.605133931,0,Short,5 years
Human,1,1,1,12,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.52355619,0,Short,5 years
Human,1,1,1,13,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.293177181,0,Short,5 years
Human,1,1,1,14,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.994890647,1,Short,5 years
Human,1,1,1,15,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.136549695,0,Short,5 years
Human,1,1,1,16,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.146180802,1,Short,5 years
Human,1,1,1,17,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.364453594,0,Short,5 years
Human,1,1,1,18,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.750999644,0,Short,5 years
Human,1,1,1,19,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.683844563,1,Short,5 years
Human,1,1,1,20,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.197681668,0,Short,5 years
Human,1,1,1,21,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.197247001,0,Short,5 years
Human,1,1,1,22,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.042754181,0,Short,5 years
Human,1,1,1,23,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.502421532,1,Short,5 years
Human,1,1,1,24,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,0.358617152,1,Short,5 years
Human,1,1,1,25,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.433050007,1,Short,5 years
Human,1,1,2,26,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.217373214,0,Short,5 years
Human,1,1,2,27,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.047545734,0,Short,5 years
Human,1,1,2,28,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,2.606346819,0,Short,5 years
Human,1,1,2,29,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.607977485,0,Short,5 years
Human,1,1,2,30,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.923770679,0,Short,5 years
Human,1,1,2,31,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.043897736,0,Short,5 years
Human,1,1,2,32,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.161099462,0,Short,5 years
Human,1,1,2,33,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.042970181,0,Short,5 years
Human,1,1,2,34,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.627753921,1,Short,5 years
Human,1,1,2,35,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,0.136751917,0,Short,5 years
Human,1,1,2,36,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.293525181,0,Short,5 years
Human,1,1,2,37,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,1.050694177,0,Short,5 years
Human,1,1,2,38,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.954536887,0,Short,5 years
Human,1,1,2,39,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.817076504,1,Short,5 years
Human,1,1,2,40,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.8,1.277668299,0,Short,5 years
Human,1,1,3,41,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,0.55755173,1,Short,5 years
Human,1,1,3,42,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,0.324219389,0,Short,5 years
Human,1,1,3,43,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.918440014,0,Short,5 years
Human,1,1,3,44,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,1.356016264,1,Short,5 years
Human,1,1,3,45,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.9,3.814549838,0,Short,5 years
Human,1,1,3,46,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.280170964,0,Short,5 years
Human,1,1,3,47,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,0.911682684,1,Short,5 years
Human,1,1,3,48,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,2.81063784,0,Short,5 years
Human,1,1,3,49,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.767526303,0,Short,5 years
Human,1,1,3,50,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.5,1.129689253,0,Short,5 years
Human,1,1,3,51,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.6,1.801511177,0,Short,5 years
Human,1,1,3,52,Visual,TR,0.5;0.6;0.7;0.8;0.9,0.7,2.269295858,0,Short,5 years
