Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response
Human,1,1,1,1,Visual,TR,2.1;3.7;5.4,5.4,5.029764847
Human,1,1,1,2,Visual,TR,2.1;3.7;5.4,3.7,3.437058314
Human,1,1,1,3,Visual,TR,2.1;3.7;5.4,5.4,4.705362872
Human,1,1,1,4,Visual,TR,2.1;3.7;5.4,5.4,4.43995512
Human,1,1,1,5,Visual,TR,2.1;3.7;5.4,3.7,3.770862732
Human,1,1,1,6,Visual,TR,2.1;3.7;5.4,3.7,3.071500905
Human,1,1,1,8,Visual,TR,2.1;3.7;5.4,5.4,5.556124398
Human,1,1,1,9,Visual,TR,2.1;3.7;5.4,2.1,1.684877544
Human,1,1,1,10,Visual,TR,2.1;3.7;5.4,2.1,1.084270118
Human,1,1,1,11,Visual,TR,2.1;3.7;5.4,5.4,3.320455447
Human,1,1,1,12,Visual,TR,2.1;3.7;5.4,2.1,1.75200138
Human,1,1,1,13,Visual,TR,2.1;3.7;5.4,2.1,1.768333788
Human,1,1,1,14,Visual,TR,2.1;3.7;5.4,3.7,3.121485494
Human,1,1,1,15,Visual,TR,2.1;3.7;5.4,2.1,1.951939774
Human,1,1,1,16,Visual,TR,2.1;3.7;5.4,3.7,2.654242641
Human,1,1,1,17,Visual,TR,2.1;3.7;5.4,2.1,2.420714967
Human,1,1,1,18,Visual,TR,2.1;3.7;5.4,2.1,2.102133539
Human,1,1,1,19,Visual,TR,2.1;3.7;5.4,5.4,3.605678721
Human,1,1,1,20,Visual,TR,2.1;3.7;5.4,2.1,4.038082303
Human,1,1,1,21,Visual,TR,2.1;3.7;5.4,2.1,3.019978916
Human,1,1,1,22,Visual,TR,2.1;3.7;5.4,5.4,4.671821705
Human,1,1,1,24,Visual,TR,2.1;3.7;5.4,5.4,5.273976123
Human,1,1,1,25,Visual,TR,2.1;3.7;5.4,2.1,6.373582099
Human,1,1,1,26,Visual,TR,2.1;3.7;5.4,2.1,1.184549167
Human,1,1,1,27,Visual,TR,2.1;3.7;5.4,5.4,6.423832698
Human,1,1,2,28,Visual,TR,2.1;3.7;5.4,5.4,5.722856883
Human,1,1,2,29,Visual,TR,2.1;3.7;5.4,5.4,4.588466261
Human,1,1,2,30,Visual,TR,2.1;3.7;5.4,3.7,3.11557941
Human,1,1,2,31,Visual,TR,2.1;3.7;5.4,5.4,4.33838138
Human,1,1,2,32,Visual,TR,2.1;3.7;5.4,3.7,4.389785525
Human,1,1,2,33,Visual,TR,2.1;3.7;5.4,2.1,1.585006251
Human,1,1,2,34,Visual,TR,2.1;3.7;5.4,5.4,0.100041115
Human,1,1,2,35,Visual,TR,2.1;3.7;5.4,5.4,4.638535962
Human,1,1,2,36,Visual,TR,2.1;3.7;5.4,3.7,4.455157524
Human,1,1,2,37,Visual,TR,2.1;3.7;5.4,3.7,4.58847313
Human,1,1,2,38,Visual,TR,2.1;3.7;5.4,2.1,1.918923376
Human,1,1,2,40,Visual,TR,2.1;3.7;5.4,3.7,3.253571358
Human,1,1,2,42,Visual,TR,2.1;3.7;5.4,5.4,4.639406894
Human,1,1,2,44,Visual,TR,2.1;3.7;5.4,5.4,2.988340282
Human,1,1,2,45,Visual,TR,2.1;3.7;5.4,3.7,4.688524588
Human,1,1,2,46,Visual,TR,2.1;3.7;5.4,3.7,3.103756446
Human,1,1,2,47,Visual,TR,2.1;3.7;5.4,2.1,1.234406485
Human,1,1,2,49,Visual,TR,2.1;3.7;5.4,3.7,2.969920581
Human,1,1,2,51,Visual,TR,2.1;3.7;5.4,3.7,3.20346775
Human,1,1,2,52,Visual,TR,2.1;3.7;5.4,2.1,0.149911375
Human,1,1,2,53,Visual,TR,2.1;3.7;5.4,3.7,2.152356893
Human,1,1,2,54,Visual,TR,2.1;3.7;5.4,2.1,3.655839732
Human,1,1,2,55,Visual,TR,2.1;3.7;5.4,5.4,5.055695912
Human,1,1,2,56,Visual,TR,2.1;3.7;5.4,2.1,1.920506533
Human,1,1,3,57,Visual,TR,2.1;3.7;5.4,5.4,4.021153508
Human,1,1,3,58,Visual,TR,2.1;3.7;5.4,2.1,2.119159619
Human,1,1,3,59,Visual,TR,2.1;3.7;5.4,2.1,2.235596458
Human,1,1,3,61,Visual,TR,2.1;3.7;5.4,2.1,2.537723462
Human,1,1,3,63,Visual,TR,2.1;3.7;5.4,5.4,5.255674953
Human,1,1,3,65,Visual,TR,2.1;3.7;5.4,2.1,1.401866624
Human,1,1,3,66,Visual,TR,2.1;3.7;5.4,3.7,3.670673817
Human,1,1,3,67,Visual,TR,2.1;3.7;5.4,3.7,3.737579502
Human,1,1,3,68,Visual,TR,2.1;3.7;5.4,3.7,3.171780379
Human,1,1,3,69,Visual,TR,2.1;3.7;5.4,2.1,2.219012764
Human,1,1,3,71,Visual,TR,2.1;3.7;5.4,3.7,3.003263556
Human,1,1,3,72,Visual,TR,2.1;3.7;5.4,3.7,4.118791812
Human,1,1,3,73,Visual,TR,2.1;3.7;5.4,5.4,5.107562648
Human,1,1,3,75,Visual,TR,2.1;3.7;5.4,5.4,5.422552054
Human,1,1,3,77,Visual,TR,2.1;3.7;5.4,2.1,4.238007079
Human,1,1,3,78,Visual,TR,2.1;3.7;5.4,3.7,4.020947615
Human,1,1,3,79,Visual,TR,2.1;3.7;5.4,3.7,3.787650283
Human,1,1,3,80,Visual,TR,2.1;3.7;5.4,2.1,4.405077148
Human,1,1,3,81,Visual,TR,2.1;3.7;5.4,2.1,2.535933119
Human,1,1,3,82,Visual,TR,2.1;3.7;5.4,2.1,2.185519129
Human,1,1,3,83,Visual,TR,2.1;3.7;5.4,3.7,3.770928728
Human,1,1,3,84,Visual,TR,2.1;3.7;5.4,3.7,3.186679098
Human,1,1,4,85,Visual,TR,2.1;3.7;5.4,3.7,2.853089991
Human,1,1,4,86,Visual,TR,2.1;3.7;5.4,3.7,2.754817005
Human,1,1,4,87,Visual,TR,2.1;3.7;5.4,3.7,2.752986353
Human,1,1,4,88,Visual,TR,2.1;3.7;5.4,3.7,4.354824557
Human,1,1,4,89,Visual,TR,2.1;3.7;5.4,5.4,5.205811516
Human,1,1,4,91,Visual,TR,2.1;3.7;5.4,2.1,3.0032749
Human,1,1,4,92,Visual,TR,2.1;3.7;5.4,2.1,2.369373931
Human,1,1,4,93,Visual,TR,2.1;3.7;5.4,5.4,5.038662944
Human,1,1,4,94,Visual,TR,2.1;3.7;5.4,5.4,5.62298197
Human,1,1,4,95,Visual,TR,2.1;3.7;5.4,3.7,6.39046196
Human,1,1,4,96,Visual,TR,2.1;3.7;5.4,2.1,5.439162188
Human,1,1,4,97,Visual,TR,2.1;3.7;5.4,3.7,3.770864061
Human,1,1,4,98,Visual,TR,2.1;3.7;5.4,3.7,3.586851584
Human,1,1,4,99,Visual,TR,2.1;3.7;5.4,5.4,4.505006787
Human,1,1,4,101,Visual,TR,2.1;3.7;5.4,3.7,6.258704551
Human,1,1,4,103,Visual,TR,2.1;3.7;5.4,5.4,6.225374939
Human,1,1,4,104,Visual,TR,2.1;3.7;5.4,2.1,1.818592767
Human,1,1,4,105,Visual,TR,2.1;3.7;5.4,5.4,5.224063974
Human,1,1,5,106,Visual,TR,2.1;3.7;5.4,2.1,1.902246693
Human,1,1,5,107,Visual,TR,2.1;3.7;5.4,3.7,3.136984465
Human,1,1,5,108,Visual,TR,2.1;3.7;5.4,2.1,1.801760289
Human,1,1,5,109,Visual,TR,2.1;3.7;5.4,3.7,4.104568887
Human,1,1,5,110,Visual,TR,2.1;3.7;5.4,3.7,2.602616454
Human,1,1,5,111,Visual,TR,2.1;3.7;5.4,3.7,3.169855034
Human,1,1,5,112,Visual,TR,2.1;3.7;5.4,5.4,5.589549929
Human,1,1,5,113,Visual,TR,2.1;3.7;5.4,3.7,6.058417216
Human,1,1,5,114,Visual,TR,2.1;3.7;5.4,2.1,2.452790985
Human,1,1,5,115,Visual,TR,2.1;3.7;5.4,5.4,4.02268309
Human,1,1,5,117,Visual,TR,2.1;3.7;5.4,3.7,5.773178262
Human,1,1,5,118,Visual,TR,2.1;3.7;5.4,3.7,3.72070672
Human,1,1,5,119,Visual,TR,2.1;3.7;5.4,5.4,5.674729177
Human,1,1,5,120,Visual,TR,2.1;3.7;5.4,5.4,4.738705022
Human,1,1,5,121,Visual,TR,2.1;3.7;5.4,3.7,5.491077626
Human,1,1,5,122,Visual,TR,2.1;3.7;5.4,2.1,4.655352861
Human,1,1,5,123,Visual,TR,2.1;3.7;5.4,3.7,4.872069416
Human,1,1,5,125,Visual,TR,2.1;3.7;5.4,5.4,6.373753622
Human,1,1,5,126,Visual,TR,2.1;3.7;5.4,5.4,6.69102371
Human,1,1,5,127,Visual,TR,2.1;3.7;5.4,3.7,3.271893718
Human,1,1,5,128,Visual,TR,2.1;3.7;5.4,2.1,1.802151754
Human,1,1,5,130,Visual,TR,2.1;3.7;5.4,5.4,4.556483022
Human,1,1,6,132,Visual,TR,2.1;3.7;5.4,3.7,3.870760448
Human,1,1,6,133,Visual,TR,2.1;3.7;5.4,5.4,3.871084816
Human,1,1,6,134,Visual,TR,2.1;3.7;5.4,2.1,3.105167388
Human,1,1,6,137,Visual,TR,2.1;3.7;5.4,5.4,5.389300558
Human,1,1,6,138,Visual,TR,2.1;3.7;5.4,5.4,6.039525833
Human,1,1,6,139,Visual,TR,2.1;3.7;5.4,5.4,6.876026231
Human,1,1,6,140,Visual,TR,2.1;3.7;5.4,5.4,6.507313997
Human,1,1,6,141,Visual,TR,2.1;3.7;5.4,3.7,4.13787424
Human,1,1,6,142,Visual,TR,2.1;3.7;5.4,2.1,2.469547835
Human,1,1,6,143,Visual,TR,2.1;3.7;5.4,3.7,3.437130298
Human,1,1,6,146,Visual,TR,2.1;3.7;5.4,3.7,2.152398223
Human,1,1,6,147,Visual,TR,2.1;3.7;5.4,3.7,3.854257469
Human,1,1,6,148,Visual,TR,2.1;3.7;5.4,5.4,4.771599985
Human,1,1,6,149,Visual,TR,2.1;3.7;5.4,3.7,7.90901127
Human,1,1,6,150,Visual,TR,2.1;3.7;5.4,3.7,6.158384165
Human,1,1,6,151,Visual,TR,2.1;3.7;5.4,3.7,3.704085204
Human,1,1,6,152,Visual,TR,2.1;3.7;5.4,2.1,4.154778775
Human,1,1,6,153,Visual,TR,2.1;3.7;5.4,5.4,4.071071937
Human,1,1,6,154,Visual,TR,2.1;3.7;5.4,3.7,4.021318213
Human,1,1,6,155,Visual,TR,2.1;3.7;5.4,5.4,5.606059515
Human,1,1,7,156,Visual,TR,2.1;3.7;5.4,2.1,1.384965363
Human,1,1,7,157,Visual,TR,2.1;3.7;5.4,5.4,3.854181045
Human,1,1,7,158,Visual,TR,2.1;3.7;5.4,3.7,4.773722744
Human,1,1,7,159,Visual,TR,2.1;3.7;5.4,5.4,5.222288125
Human,1,1,7,160,Visual,TR,2.1;3.7;5.4,5.4,4.538228286
Human,1,1,7,161,Visual,TR,2.1;3.7;5.4,5.4,8.543046979
Human,1,1,7,162,Visual,TR,2.1;3.7;5.4,2.1,2.586162401
Human,1,1,7,164,Visual,TR,2.1;3.7;5.4,5.4,8.275893464
Human,1,1,7,165,Visual,TR,2.1;3.7;5.4,3.7,5.422655463
Human,1,1,7,166,Visual,TR,2.1;3.7;5.4,2.1,3.637383188
Human,1,1,7,167,Visual,TR,2.1;3.7;5.4,5.4,5.639506781
Human,1,1,7,168,Visual,TR,2.1;3.7;5.4,3.7,4.93843131
Human,1,1,7,169,Visual,TR,2.1;3.7;5.4,2.1,6.0589374
Human,1,1,7,171,Visual,TR,2.1;3.7;5.4,2.1,3.437151406
Human,1,1,7,172,Visual,TR,2.1;3.7;5.4,3.7,6.874134396
Human,1,1,7,173,Visual,TR,2.1;3.7;5.4,5.4,4.438192325
Human,1,1,7,174,Visual,TR,2.1;3.7;5.4,5.4,6.673980822
Human,1,1,7,175,Visual,TR,2.1;3.7;5.4,5.4,4.371605833
Human,1,1,7,177,Visual,TR,2.1;3.7;5.4,3.7,4.004411091
Human,1,1,7,178,Visual,TR,2.1;3.7;5.4,2.1,2.288159592
Human,1,1,7,179,Visual,TR,2.1;3.7;5.4,2.1,1.234510286
Human,1,1,7,180,Visual,TR,2.1;3.7;5.4,3.7,2.252454473
Human,1,1,7,181,Visual,TR,2.1;3.7;5.4,5.4,5.072165812
Human,1,1,8,183,Visual,TR,2.1;3.7;5.4,5.4,3.923399976
Human,1,1,8,184,Visual,TR,2.1;3.7;5.4,5.4,4.924313034
Human,1,1,8,185,Visual,TR,2.1;3.7;5.4,3.7,4.724024786
Human,1,1,8,186,Visual,TR,2.1;3.7;5.4,3.7,5.155667625
Human,1,1,8,187,Visual,TR,2.1;3.7;5.4,5.4,5.839730369
Human,1,1,8,188,Visual,TR,2.1;3.7;5.4,2.1,3.357844535
Human,1,1,8,190,Visual,TR,2.1;3.7;5.4,2.1,1.68531152
Human,1,1,8,191,Visual,TR,2.1;3.7;5.4,3.7,2.536228241
Human,1,1,8,194,Visual,TR,2.1;3.7;5.4,3.7,4.62276694
Human,1,1,8,195,Visual,TR,2.1;3.7;5.4,2.1,3.822872647
Human,1,1,8,196,Visual,TR,2.1;3.7;5.4,5.4,4.271552825
Human,1,1,8,197,Visual,TR,2.1;3.7;5.4,2.1,4.154563501
Human,1,1,8,198,Visual,TR,2.1;3.7;5.4,2.1,3.323240913
Human,1,1,8,200,Visual,TR,2.1;3.7;5.4,5.4,3.436812288
Human,1,1,8,201,Visual,TR,2.1;3.7;5.4,2.1,2.455117334
Human,1,1,8,202,Visual,TR,2.1;3.7;5.4,5.4,4.538486146
Human,1,1,8,204,Visual,TR,2.1;3.7;5.4,2.1,2.152348563
Human,1,1,8,206,Visual,TR,2.1;3.7;5.4,2.1,0.066796828
Human,1,1,8,207,Visual,TR,2.1;3.7;5.4,2.1,1.904308564
Human,1,1,8,209,Visual,TR,2.1;3.7;5.4,3.7,3.236817313
Human,1,1,8,210,Visual,TR,2.1;3.7;5.4,2.1,0.152260565
