Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,MCI
Human,1,NaN,1,1,Auditory,Training,1;1.17;1.4;1.68,1,0.56862,0
Human,1,NaN,1,2,Auditory,Training,1;1.17;1.4;1.68,1,0.87137,0
Human,1,NaN,1,3,Auditory,Training,1;1.17;1.4;1.68,1,0.78063,0
Human,1,NaN,1,4,Auditory,Training,1;1.17;1.4;1.68,1,0.67587,0
Human,1,NaN,1,5,Auditory,Training,1;1.17;1.4;1.68,1,0.67085,0
Human,1,NaN,1,6,Auditory,Training,1;1.17;1.4;1.68,1,0.73692,0
Human,1,NaN,1,7,Auditory,Training,1;1.17;1.4;1.68,1,0.77384,0
Human,1,NaN,1,8,Auditory,Training,1;1.17;1.4;1.68,1,0.69726,0
Human,1,NaN,1,9,Auditory,Training,1;1.17;1.4;1.68,1,0.94074,0
Human,1,NaN,1,10,Auditory,Training,1;1.17;1.4;1.68,1,0.94006,0
Human,1,NaN,1,11,Auditory,Training,1;1.17;1.4;1.68,1,1.03672,0
Human,1,NaN,1,12,Auditory,Training,1;1.17;1.4;1.68,1,1.0038,0
Human,1,NaN,1,13,Auditory,Training,1;1.17;1.4;1.68,1,0.88557,0
Human,1,NaN,1,14,Auditory,Training,1;1.17;1.4;1.68,1,0.94298,0
Human,1,NaN,1,15,Auditory,Training,1;1.17;1.4;1.68,1,0.91042,0
Human,1,NaN,1,16,Auditory,Training,1;1.17;1.4;1.68,1,0.94804,0
Human,1,NaN,1,17,Auditory,Training,1;1.17;1.4;1.68,1,1.03871,0
Human,1,NaN,1,18,Auditory,Training,1;1.17;1.4;1.68,1,0.98946,0
Human,1,NaN,1,19,Auditory,Training,1;1.17;1.4;1.68,1,1.0251,0
Human,1,NaN,1,20,Auditory,Training,1;1.17;1.4;1.68,1,0.73943,0
Human,1,1,1,1,Auditory,TR,1;1.17;1.4;1.68,1.4,1.19565,0
Human,1,1,1,2,Auditory,TR,1;1.17;1.4;1.68,1.68,1.3485,0
Human,1,1,1,3,Auditory,TR,1;1.17;1.4;1.68,1.68,1.51459,0
Human,1,1,1,4,Auditory,TR,1;1.17;1.4;1.68,1.17,1.01128,0
Human,1,1,1,5,Auditory,TR,1;1.17;1.4;1.68,1.68,1.55385,0
Human,1,1,1,6,Auditory,TR,1;1.17;1.4;1.68,1.68,1.5513,0
Human,1,1,1,7,Auditory,TR,1;1.17;1.4;1.68,1.4,1.36393,0
Human,1,1,1,8,Auditory,TR,1;1.17;1.4;1.68,1.17,1.22037,0
Human,1,1,1,9,Auditory,TR,1;1.17;1.4;1.68,1.4,1.24305,0
Human,1,1,1,10,Auditory,TR,1;1.17;1.4;1.68,1.68,1.36593,0
Human,1,1,1,11,Auditory,TR,1;1.17;1.4;1.68,1.4,1.39168,0
Human,1,1,1,12,Auditory,TR,1;1.17;1.4;1.68,1.4,1.48258,0
Human,1,1,1,13,Auditory,TR,1;1.17;1.4;1.68,1.17,1.35158,0
Human,1,1,1,14,Auditory,TR,1;1.17;1.4;1.68,1.17,1.17479,0
Human,1,1,1,15,Auditory,TR,1;1.17;1.4;1.68,1.17,1.115,0
Human,1,1,1,16,Auditory,TR,1;1.17;1.4;1.68,1.17,0.87372,0
Human,1,1,1,17,Auditory,TR,1;1.17;1.4;1.68,1.68,1.38141,0
Human,1,1,1,18,Auditory,TR,1;1.17;1.4;1.68,1.68,1.4212,0
Human,1,1,1,19,Auditory,TR,1;1.17;1.4;1.68,1.4,1.41924,0
Human,1,1,1,20,Auditory,TR,1;1.17;1.4;1.68,1.4,1.23642,0
Human,1,1,1,21,Auditory,TR,1;1.17;1.4;1.68,1.17,1.33076,0
Human,1,1,1,22,Auditory,TR,1;1.17;1.4;1.68,1.4,1.3007,0
Human,1,1,1,23,Auditory,TR,1;1.17;1.4;1.68,1.68,1.53781,0
Human,1,1,1,24,Auditory,TR,1;1.17;1.4;1.68,1.17,1.06753,0
Human,1,1,1,25,Auditory,TR,1;1.17;1.4;1.68,1.4,1.21086,0
Human,1,1,1,26,Auditory,TR,1;1.17;1.4;1.68,1.4,1.61566,0
Human,1,1,1,27,Auditory,TR,1;1.17;1.4;1.68,1.68,1.49462,0
Human,1,1,1,28,Auditory,TR,1;1.17;1.4;1.68,1.17,0.98263,0
Human,1,1,1,29,Auditory,TR,1;1.17;1.4;1.68,1.17,0.92436,0
Human,1,1,1,30,Auditory,TR,1;1.17;1.4;1.68,1.68,1.40569,0
Human,1,2,1,1,Auditory,TR,1;1.17;1.4;1.68,1.68,1.36041,0
Human,1,2,1,2,Auditory,TR,1;1.17;1.4;1.68,1.68,1.44525,0
Human,1,2,1,3,Auditory,TR,1;1.17;1.4;1.68,1.4,1.40071,0
Human,1,2,1,4,Auditory,TR,1;1.17;1.4;1.68,1.4,1.46772,0
Human,1,2,1,5,Auditory,TR,1;1.17;1.4;1.68,1.68,1.34919,0
Human,1,2,1,6,Auditory,TR,1;1.17;1.4;1.68,1.17,1.0687,0
Human,1,2,1,7,Auditory,TR,1;1.17;1.4;1.68,1.17,1.0129,0
Human,1,2,1,8,Auditory,TR,1;1.17;1.4;1.68,1.68,1.32442,0
Human,1,2,1,9,Auditory,TR,1;1.17;1.4;1.68,1.17,0.75214,0
Human,1,2,1,10,Auditory,TR,1;1.17;1.4;1.68,1.4,1.22824,0
Human,1,2,1,11,Auditory,TR,1;1.17;1.4;1.68,1.68,1.4588,0
Human,1,2,1,12,Auditory,TR,1;1.17;1.4;1.68,1.68,1.4079,0
Human,1,2,1,13,Auditory,TR,1;1.17;1.4;1.68,1.4,1.36284,0
