Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Emotion
Human,1,1,1,1,Auditory,TR,4.2,4.2,2.839954209,1
Human,1,1,1,2,Auditory,TR,4.2,4.2,3.687440514,1
Human,1,1,1,3,Auditory,TR,4.2,4.2,3.927989557,1
Human,1,1,1,4,Auditory,TR,4.2,4.2,5.27967443,1
Human,1,1,1,5,Auditory,TR,4.2,4.2,4.880018791,1
Human,1,1,1,6,Auditory,TR,4.2,4.2,4.143883499,1
Human,1,1,1,7,Auditory,TR,4.2,4.2,3.895726217,1
Human,1,1,1,8,Auditory,TR,4.2,4.2,3.424358082,1
Human,1,1,1,9,Auditory,TR,4.2,4.2,3.688252916,1
Human,1,1,1,10,Auditory,TR,4.2,4.2,4.255886023,1
Human,1,1,1,11,Auditory,TR,4.2,4.2,4.910875821,1
Human,1,1,1,12,Auditory,TR,4.2,4.2,4.807754762,1
Human,1,1,1,13,Auditory,TR,4.2,4.2,4.583584519,1
Human,1,1,1,14,Auditory,TR,4.2,4.2,4.231793378,1
Human,1,1,1,15,Auditory,TR,4.2,4.2,7.383649604,1
Human,1,1,1,16,Auditory,TR,4.2,4.2,4.175716471,1
Human,1,1,1,17,Auditory,TR,4.2,4.2,4.983084895,1
Human,1,1,1,18,Auditory,TR,4.2,4.2,4.895576251,1
Human,1,1,1,19,Auditory,TR,4.2,4.2,3.727664332,1
Human,1,1,1,20,Auditory,TR,4.2,4.2,4.590823303,1
Human,1,1,2,1,Auditory,TR,2.8,2.8,2.280588796,1
Human,1,1,2,2,Auditory,TR,2.8,2.8,2.896109576,1
Human,1,1,2,3,Auditory,TR,2.8,2.8,2.375904972,1
Human,1,1,2,4,Auditory,TR,2.8,2.8,3.063774861,1
Human,1,1,2,5,Auditory,TR,2.8,2.8,2.83939142,1
Human,1,1,2,6,Auditory,TR,2.8,2.8,2.53544624,1
Human,1,1,2,7,Auditory,TR,2.8,2.8,2.655334424,1
Human,1,1,2,8,Auditory,TR,2.8,2.8,2.432071926,1
Human,1,1,2,9,Auditory,TR,2.8,2.8,2.951739232,1
Human,1,1,2,10,Auditory,TR,2.8,2.8,2.680229869,1
Human,1,1,2,11,Auditory,TR,2.8,2.8,2.967757185,1
Human,1,1,2,12,Auditory,TR,2.8,2.8,3.599777599,1
Human,1,1,2,13,Auditory,TR,2.8,2.8,3.376045007,1
Human,1,1,2,14,Auditory,TR,2.8,2.8,3.391384966,1
Human,1,1,2,15,Auditory,TR,2.8,2.8,3.336124433,1
Human,1,1,2,16,Auditory,TR,2.8,2.8,4.119721334,1
Human,1,1,2,17,Auditory,TR,2.8,2.8,2.512108394,1
Human,1,1,2,18,Auditory,TR,2.8,2.8,3.951661434,1
Human,1,1,2,19,Auditory,TR,2.8,2.8,3.520320472,1
Human,1,1,2,20,Auditory,TR,2.8,2.8,2.848201047,1
Human,1,1,3,1,Auditory,TR,1.4,1.4,0.911943133,1
Human,1,1,3,2,Auditory,TR,1.4,1.4,1.672050566,1
Human,1,1,3,3,Auditory,TR,1.4,1.4,1.311660017,1
Human,1,1,3,4,Auditory,TR,1.4,1.4,1.407895194,1
Human,1,1,3,5,Auditory,TR,1.4,1.4,1.511870037,1
Human,1,1,3,6,Auditory,TR,1.4,1.4,1.287532282,1
Human,1,1,3,7,Auditory,TR,1.4,1.4,1.463829418,1
Human,1,1,3,8,Auditory,TR,1.4,1.4,2.14406955,1
Human,1,1,3,9,Auditory,TR,1.4,1.4,1.504020793,1
Human,1,1,3,10,Auditory,TR,1.4,1.4,1.799915118,1
Human,1,1,3,11,Auditory,TR,1.4,1.4,1.063945353,1
Human,1,1,3,12,Auditory,TR,1.4,1.4,0.959920852,1
Human,1,1,3,13,Auditory,TR,1.4,1.4,1.407784954,1
Human,1,1,3,14,Auditory,TR,1.4,1.4,1.103486541,1
Human,1,1,3,15,Auditory,TR,1.4,1.4,1.399927764,1
Human,1,1,3,16,Auditory,TR,1.4,1.4,1.287897763,1
Human,1,1,3,17,Auditory,TR,1.4,1.4,1.023788738,1
Human,1,1,3,18,Auditory,TR,1.4,1.4,1.231225624,1
Human,1,1,3,19,Auditory,TR,1.4,1.4,1.11188798,1
Human,1,1,3,20,Auditory,TR,1.4,1.4,1.016015967,1
Human,1,1,4,1,Auditory,TR,2.8,2.8,2.66398349,2
Human,1,1,4,2,Auditory,TR,2.8,2.8,3.056327514,2
Human,1,1,4,3,Auditory,TR,2.8,2.8,2.279733688,2
Human,1,1,4,4,Auditory,TR,2.8,2.8,2.215904866,2
Human,1,1,4,5,Auditory,TR,2.8,2.8,2.295801631,2
Human,1,1,4,6,Auditory,TR,2.8,2.8,1.77515408,2
Human,1,1,4,7,Auditory,TR,2.8,2.8,2.623827207,2
Human,1,1,4,8,Auditory,TR,2.8,2.8,2.463636084,2
Human,1,1,4,9,Auditory,TR,2.8,2.8,2.39931267,2
Human,1,1,4,10,Auditory,TR,2.8,2.8,2.015849117,2
Human,1,1,4,11,Auditory,TR,2.8,2.8,2.088025748,2
Human,1,1,4,12,Auditory,TR,2.8,2.8,2.719567792,2
Human,1,1,4,13,Auditory,TR,2.8,2.8,2.639853437,2
Human,1,1,4,14,Auditory,TR,2.8,2.8,2.152073396,2
Human,1,1,4,15,Auditory,TR,2.8,2.8,3.1999081,2
Human,1,1,4,16,Auditory,TR,2.8,2.8,4.175642315,2
Human,1,1,4,17,Auditory,TR,2.8,2.8,3.976165907,2
Human,1,1,4,18,Auditory,TR,2.8,2.8,4.02389931,2
Human,1,1,4,19,Auditory,TR,2.8,2.8,3.783820692,2
Human,1,1,4,20,Auditory,TR,2.8,2.8,3.175780364,2
