Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Release,Task
Human,1,1,1,1,Auditory,TR,9,9,4.914733376,NaN,Point
Human,1,1,1,2,Auditory,TR,7,7,7.01404618,NaN,Point
Human,1,1,1,3,Auditory,TR,7,7,6.164194983,NaN,Point
Human,1,1,1,4,Auditory,TR,1,1,1.39906892,NaN,Point
Human,1,1,1,5,Auditory,TR,9,9,5.88105553,NaN,Point
Human,1,1,1,6,Auditory,TR,5,5,4.39867749,NaN,Point
Human,1,1,1,7,Auditory,TR,7,7,6.464226446,NaN,Point
Human,1,1,1,8,Auditory,TR,7,7,6.930817045,NaN,Point
Human,1,1,1,9,Auditory,TR,5,5,7.080528409,NaN,Point
Human,1,1,1,10,Auditory,TR,5,5,6.547506545,NaN,Point
Human,1,1,1,11,Auditory,TR,9,9,7.913600848,NaN,Point
Human,1,1,1,12,Auditory,TR,1,1,1.216251636,NaN,Point
Human,1,1,1,13,Auditory,TR,1,1,1.499594944,NaN,Point
Human,1,1,1,14,Auditory,TR,7,7,4.11512148,NaN,Point
Human,1,1,1,15,Auditory,TR,1,1,2.715488419,NaN,Point
Human,1,1,1,16,Auditory,TR,9,9,5.481072447,NaN,Point
Human,1,1,1,17,Auditory,TR,3,3,3.348796707,NaN,Point
Human,1,1,1,18,Auditory,TR,3,3,5.897756426,NaN,Point
Human,1,1,1,19,Auditory,TR,3,3,4.131944122,NaN,Point
Human,1,1,1,20,Auditory,TR,5,5,5.78118071,NaN,Point
Human,1,1,1,21,Auditory,TR,9,9,7.330465678,NaN,Point
Human,1,1,1,22,Auditory,TR,5,5,7.014158371,NaN,Point
Human,1,1,1,23,Auditory,TR,1,1,1.066303503,NaN,Point
Human,1,1,1,24,Auditory,TR,1,1,0.932936642,NaN,Point
Human,1,1,1,25,Auditory,TR,5,5,4.065048874,NaN,Point
Human,1,1,1,26,Auditory,TR,3,3,3.565228486,NaN,Point
Human,1,1,1,27,Auditory,TR,3,3,4.731820889,NaN,Point
Human,1,1,1,28,Auditory,TR,7,7,4.847739032,NaN,Point
Human,1,1,1,29,Auditory,TR,9,9,6.264274366,NaN,Point
Human,1,1,1,30,Auditory,TR,3,3,3.132123203,NaN,Point
Human,1,1,2,1,Auditory,TR,9,9,4.814612939,8.246588525,Range
Human,1,1,2,2,Auditory,TR,9,9,4.048365674,6.847208867,Range
Human,1,1,2,3,Auditory,TR,5,5,4.281440661,7.846782399,Range
Human,1,1,2,4,Auditory,TR,3,3,2.015863887,3.648546807,Range
Human,1,1,2,5,Auditory,TR,7,7,3.632343516,7.164579689,Range
Human,1,1,2,6,Auditory,TR,9,9,6.314335293,9.779488642,Range
Human,1,1,2,7,Auditory,TR,7,7,4.748224851,8.113570624,Range
Human,1,1,2,8,Auditory,TR,7,7,4.548167304,6.53094226,Range
Human,1,1,2,9,Auditory,TR,1,1,0.916476762,2.049226749,Range
Human,1,1,2,10,Auditory,TR,1,1,1.11614394,2.06583775,Range
Human,1,1,2,11,Auditory,TR,5,5,3.948446968,7.097059072,Range
Human,1,1,2,12,Auditory,TR,9,9,8.313371936,11.41253751,Range
Human,1,1,2,13,Auditory,TR,5,5,4.281646285,7.663801607,Range
Human,1,1,2,14,Auditory,TR,7,7,4.981252767,8.329996387,Range
Human,1,1,2,15,Auditory,TR,9,9,4.898052299,7.813635072,Range
Human,1,1,2,16,Auditory,TR,3,3,3.448611007,5.847608791,Range
Human,1,1,2,17,Auditory,TR,3,3,2.649054321,5.414654276,Range
Human,1,1,2,18,Auditory,TR,1,1,1.199615153,2.065827841,Range
Human,1,1,2,19,Auditory,TR,5,5,3.982344241,6.164188613,Range
Human,1,1,2,20,Auditory,TR,3,3,3.11585196,5.347913689,Range
Human,1,1,2,21,Auditory,TR,5,5,6.447402034,9.079799698,Range
Human,1,1,2,22,Auditory,TR,7,7,4.281560284,7.130517491,Range
Human,1,1,2,23,Auditory,TR,3,3,3.065907826,5.09808401,Range
