Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Condition,date,ToD,exclude
Human,1,1,1,0,Visual,TR,1,1,0.835593303,NaN,21.11.2017,1111,FALSE
Human,1,1,1,1,Visual,TR,1,1,0.937328197,NaN,21.11.2017,1111,FALSE
Human,1,1,1,2,Visual,TR,1,1,0.953891414,NaN,21.11.2017,1111,FALSE
Human,1,1,1,3,Visual,TR,1,1,0.904099312,NaN,21.11.2017,1111,FALSE
Human,1,1,1,4,Visual,TR,1,1,0.970430989,NaN,21.11.2017,1111,FALSE
Human,1,1,1,5,Visual,TR,1,1,0.903469236,NaN,21.11.2017,1111,FALSE
Human,1,1,1,6,Visual,TR,1,1,1.104868326,NaN,21.11.2017,1111,FALSE
Human,1,1,1,7,Visual,TR,1,1,0.905729863,NaN,21.11.2017,1111,FALSE
Human,1,1,1,8,Visual,TR,1,1,0.954406429,NaN,21.11.2017,1111,FALSE
Human,1,1,1,9,Visual,TR,1,1,0.838063955,NaN,21.11.2017,1111,FALSE
Human,1,1,1,10,Visual,TR,1,1,0.938097764,NaN,21.11.2017,1111,FALSE
Human,1,1,1,11,Visual,TR,1,1,0.937605604,NaN,21.11.2017,1111,FALSE
Human,1,1,1,12,Visual,TR,1,1,0.887035659,NaN,21.11.2017,1111,FALSE
Human,1,1,1,13,Visual,TR,1,1,0.854328881,NaN,21.11.2017,1111,FALSE
Human,1,1,1,14,Visual,TR,1,1,0.987968281,NaN,21.11.2017,1111,FALSE
Human,1,1,1,15,Visual,TR,1,1,0.921357621,NaN,21.11.2017,1111,FALSE
Human,1,1,1,16,Visual,TR,1,1,1.004588635,NaN,21.11.2017,1111,FALSE
Human,1,1,1,17,Visual,TR,1,1,0.853308309,NaN,21.11.2017,1111,FALSE
Human,1,1,1,18,Visual,TR,1,1,0.854395474,NaN,21.11.2017,1111,FALSE
Human,1,1,1,19,Visual,TR,1,1,1.05468021,NaN,21.11.2017,1111,FALSE
Human,1,1,1,20,Visual,TR,1,1,1.004496822,NaN,21.11.2017,1111,FALSE
Human,1,1,1,21,Visual,TR,1,1,1.105763987,NaN,21.11.2017,1111,FALSE
Human,1,1,1,22,Visual,TR,1,1,1.020961529,NaN,21.11.2017,1111,FALSE
Human,1,1,1,23,Visual,TR,1,1,0.987809088,NaN,21.11.2017,1111,FALSE
Human,1,1,1,24,Visual,TR,1,1,1.055605818,NaN,21.11.2017,1111,FALSE
Human,1,1,1,25,Visual,TR,1,1,1.05461007,NaN,21.11.2017,1111,FALSE
Human,1,1,1,26,Visual,TR,1,1,0.987781899,NaN,21.11.2017,1111,FALSE
Human,1,1,1,27,Visual,TR,1,1,0.889771896,NaN,21.11.2017,1111,FALSE
Human,1,1,1,28,Visual,TR,1,1,0.887476594,NaN,21.11.2017,1111,FALSE
Human,1,1,1,29,Visual,TR,1,1,1.053812921,NaN,21.11.2017,1111,FALSE
Human,1,1,1,30,Visual,TR,1,1,0.937568958,NaN,21.11.2017,1111,FALSE
Human,1,1,1,31,Visual,TR,1,1,0.954301613,NaN,21.11.2017,1111,FALSE
Human,1,1,1,32,Visual,TR,1,1,0.870631636,NaN,21.11.2017,1111,FALSE
Human,1,1,1,33,Visual,TR,1,1,0.921167298,NaN,21.11.2017,1111,FALSE
Human,1,1,1,34,Visual,TR,1,1,0.753636232,NaN,21.11.2017,1111,FALSE
Human,1,1,1,35,Visual,TR,1,1,0.938680948,NaN,21.11.2017,1111,FALSE
Human,1,1,1,36,Visual,TR,1,1,0.954265755,NaN,21.11.2017,1111,FALSE
Human,1,1,1,37,Visual,TR,1,1,0.954276395,NaN,21.11.2017,1111,FALSE
Human,1,1,1,38,Visual,TR,1,1,0.937573292,NaN,21.11.2017,1111,FALSE
Human,1,1,1,39,Visual,TR,1,1,0.921159417,NaN,21.11.2017,1111,FALSE
Human,1,1,1,40,Visual,TR,1,1,0.955151959,NaN,21.11.2017,1111,FALSE
Human,1,1,1,41,Visual,TR,1,1,0.904060695,NaN,21.11.2017,1111,FALSE
Human,1,1,1,42,Visual,TR,1,1,0.955246923,NaN,21.11.2017,1111,FALSE
Human,1,1,1,43,Visual,TR,1,1,1.037921942,NaN,21.11.2017,1111,FALSE
Human,1,1,1,44,Visual,TR,1,1,0.971044908,NaN,21.11.2017,1111,FALSE
Human,1,1,1,45,Visual,TR,1,1,0.937909805,NaN,21.11.2017,1111,FALSE
Human,1,1,1,46,Visual,TR,1,1,0.870630454,NaN,21.11.2017,1111,FALSE
Human,1,1,1,47,Visual,TR,1,1,0.888158289,NaN,21.11.2017,1111,FALSE
Human,1,1,1,48,Visual,TR,1,1,0.888727681,NaN,21.11.2017,1111,FALSE
Human,1,1,1,49,Visual,TR,1,1,1.004519677,NaN,21.11.2017,1111,FALSE
Human,1,1,2,0,Visual,TR,1,1,0.918828257,36,21.11.2017,1142,FALSE
Human,1,1,2,1,Visual,TR,1,1,0.922257222,36,21.11.2017,1142,FALSE
Human,1,1,2,2,Visual,TR,1,1,1.020595068,36,21.11.2017,1142,FALSE
Human,1,1,2,3,Visual,TR,1,1,1.02122475,36,21.11.2017,1142,FALSE
Human,1,1,2,4,Visual,TR,1,1,1.039446495,36,21.11.2017,1142,FALSE
Human,1,1,2,5,Visual,TR,1,1,1.021505703,36,21.11.2017,1142,FALSE
Human,1,1,2,6,Visual,TR,1,1,0.936841554,36,21.11.2017,1142,FALSE
Human,1,1,2,7,Visual,TR,1,1,0.937568958,36,21.11.2017,1142,FALSE
Human,1,1,2,8,Visual,TR,1,1,1.054746015,36,21.11.2017,1142,FALSE
Human,1,1,2,9,Visual,TR,1,1,0.987750375,36,21.11.2017,1142,FALSE
Human,1,1,2,10,Visual,TR,1,1,0.97108116,36,21.11.2017,1142,FALSE
Human,1,1,2,11,Visual,TR,1,1,0.953727098,36,21.11.2017,1142,FALSE
Human,1,1,2,12,Visual,TR,1,1,1.05454663,36,21.11.2017,1142,FALSE
Human,1,1,2,13,Visual,TR,1,1,0.987769683,36,21.11.2017,1142,FALSE
Human,1,1,2,14,Visual,TR,1,1,0.85471465,36,21.11.2017,1142,FALSE
Human,1,1,2,15,Visual,TR,1,1,1.056441978,36,21.11.2017,1142,FALSE
Human,1,1,2,16,Visual,TR,1,1,0.903187889,36,21.11.2017,1142,FALSE
Human,1,1,2,17,Visual,TR,1,1,0.953533229,36,21.11.2017,1142,FALSE
Human,1,1,2,18,Visual,TR,1,1,1.104862416,36,21.11.2017,1142,FALSE
Human,1,1,2,19,Visual,TR,1,1,1.054674694,36,21.11.2017,1142,FALSE
Human,1,1,2,20,Visual,TR,1,1,1.071377008,36,21.11.2017,1142,FALSE
Human,1,1,2,21,Visual,TR,1,1,1.171780036,36,21.11.2017,1142,FALSE
Human,1,1,2,22,Visual,TR,1,1,1.021172342,36,21.11.2017,1142,FALSE
Human,1,1,2,23,Visual,TR,1,1,1.003914032,36,21.11.2017,1142,FALSE
Human,1,1,2,24,Visual,TR,1,1,1.037298171,36,21.11.2017,1142,FALSE
Human,1,1,2,25,Visual,TR,1,1,1.088156555,36,21.11.2017,1142,FALSE
Human,1,1,2,26,Visual,TR,1,1,0.920858368,36,21.11.2017,1142,FALSE
